experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC1_HIST_0001, 2024-01-08 15:30, , 1, 2441.2855168971664, 2441.2855168971664, 2567.48679704741, 3695.6773327928554, 1439.296261301965, , , , , , , A-H3b, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0002, 2024-01-13 15:30, , 2, 1959.2645540462188, 1959.2645540462188, 2567.48679704741, 3695.6773327928554, 1439.296261301965, , , , , , , A-H3b, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0003, 2024-01-16 12:30, , 3, 2637.1015039561144, 2637.1015039561144, 2567.48679704741, 3695.6773327928554, 1439.296261301965, , , , , , , A-H3b, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0004, 2024-01-23 13:30, , 4, 2929.980715482342, 2929.980715482342, 2567.48679704741, 3695.6773327928554, 1439.296261301965, , , , , , , A-H3b, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0005, 2024-01-27 14:30, , 5, 3154.905516313313, 3154.905516313313, 2567.48679704741, 3695.6773327928554, 1439.296261301965, , , , , , , A-H3b, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0006, 2024-01-28 13:30, , 6, 2543.643936127032, 2543.643936127032, 2567.48679704741, 3695.6773327928554, 1439.296261301965, , , , , , , A-H3b, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0007, 2024-01-31 10:30, , 7, 2365.486122063516, 2365.486122063516, 2567.48679704741, 3695.6773327928554, 1439.296261301965, , , , , , , A-H3b, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0008, 2024-02-02 11:30, , 8, 2970.9048666619187, 2970.9048666619187, 2567.48679704741, 3695.6773327928554, 1439.296261301965, , , , , , , A-H3b, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0009, 2024-02-12 11:30, , 9, 2593.8622517883864, 2593.8622517883864, 2567.48679704741, 3695.6773327928554, 1439.296261301965, , , , , , , A-H3b, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0010, 2024-02-13 10:30, , 10, 2183.2968335566834, 2183.2968335566834, 2567.48679704741, 3695.6773327928554, 1439.296261301965, , , , , , , A-H3b, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
