experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC1_HIST_0001, 2024-01-08 15:30, , 1, 97.5118553233052, 97.5118553233052, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0002, 2024-01-13 15:30, , 2, 99.90001068295666, 99.90001068295666, 97.66542427336955, 98.55202054109103, 96.77882800564808, , hi, limit, , beyond 3σ, , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0003, 2024-01-16 12:30, , 3, 97.55092247611067, 97.55092247611067, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0004, 2024-01-23 13:30, , 4, 97.60072221680954, 97.60072221680954, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0005, 2024-01-27 14:30, , 5, 97.57913754782693, 97.57913754782693, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0006, 2024-01-28 13:30, , 6, 97.51994450727221, 97.51994450727221, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0007, 2024-01-31 10:30, , 7, 97.6144171429707, 97.6144171429707, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0008, 2024-02-02 11:30, , 8, 97.50218014974564, 97.50218014974564, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0009, 2024-02-12 11:30, , 9, 97.54967022568549, 97.54967022568549, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0010, 2024-02-13 10:30, , 10, 97.54475063999875, 97.54475063999875, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0011, 2024-02-22 12:30, , 11, 97.45715522877784, 97.45715522877784, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0012, 2024-02-26 10:30, , 12, 97.6289517232966, 97.6289517232966, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0013, 2024-03-01 14:30, , 13, 97.56133069307886, 97.56133069307886, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0014, 2024-03-10 14:30, , 14, 97.46976343456221, 97.46976343456221, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0015, 2024-03-14 11:30, , 15, 97.67260373799216, 97.67260373799216, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0016, 2024-03-15 14:30, , 16, 97.48313028173011, 97.48313028173011, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0017, 2024-03-18 11:30, , 17, 97.65521953216619, 97.65521953216619, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0018, 2024-03-20 10:30, , 18, 97.48003230443993, 97.48003230443993, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0019, 2024-03-23 10:30, , 19, 97.49792231723542, 97.49792231723542, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0020, 2024-03-26 15:30, , 20, 97.52876530142996, 97.52876530142996, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0021, 2024-04-02 16:30, , 21, 97.51194533673915, 97.51194533673915, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0022, 2024-04-03 11:30, , 22, 97.47411479596884, 97.47411479596884, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0023, 2024-04-17 12:30, , 23, 97.5180551207048, 97.5180551207048, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0024, 2024-05-06 11:30, , 24, 97.60890510323587, 97.60890510323587, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0025, 2024-05-08 11:30, , 25, 97.59074103907939, 97.59074103907939, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0026, 2024-05-14 17:30, , 26, 97.5247092975192, 97.5247092975192, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0027, 2024-05-20 13:30, , 27, 97.57662187607666, 97.57662187607666, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0028, 2024-05-26 11:30, , 28, 97.51308266941297, 97.51308266941297, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0029, 2024-06-10 15:30, , 29, 97.57078772762519, 97.57078772762519, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0030, 2024-06-12 12:30, , 30, 97.5545806032456, 97.5545806032456, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0031, 2024-06-19 13:30, , 31, 97.59331527083711, 97.59331527083711, 97.66542427336955, 98.55202054109103, 96.77882800564808, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
