experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC1_HIST_0001, 2024-01-08 15:30, , 1, 32.829624400845915, 32.829624400845915, 32.97733755221304, 33.99012806833705, 31.964547036089026, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0002, 2024-01-13 15:30, , 2, 32.43447860108722, 32.43447860108722, 32.97733755221304, 33.99012806833705, 31.964547036089026, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0003, 2024-01-16 12:30, , 3, 33.093828252453754, 33.093828252453754, 32.97733755221304, 33.99012806833705, 31.964547036089026, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0004, 2024-01-23 13:30, , 4, 32.95831251862781, 32.95831251862781, 32.97733755221304, 33.99012806833705, 31.964547036089026, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0005, 2024-01-27 14:30, , 5, 32.85862481144946, 32.85862481144946, 32.97733755221304, 33.99012806833705, 31.964547036089026, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0006, 2024-01-28 13:30, , 6, 32.688241234232876, 32.688241234232876, 32.97733755221304, 33.99012806833705, 31.964547036089026, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0007, 2024-01-31 10:30, , 7, 33.20580199036323, 33.20580199036323, 32.97733755221304, 33.99012806833705, 31.964547036089026, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0008, 2024-02-02 11:30, , 8, 33.17814424307887, 33.17814424307887, 32.97733755221304, 33.99012806833705, 31.964547036089026, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0009, 2024-02-12 11:30, , 9, 32.892140690489185, 32.892140690489185, 32.97733755221304, 33.99012806833705, 31.964547036089026, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0010, 2024-02-13 10:30, , 10, 32.4434461828326, 32.4434461828326, 32.97733755221304, 33.99012806833705, 31.964547036089026, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0011, 2024-02-22 12:30, , 11, 33.529717647746814, 33.529717647746814, 32.97733755221304, 33.99012806833705, 31.964547036089026, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0012, 2024-02-26 10:30, , 12, 32.79708778953601, 32.79708778953601, 32.97733755221304, 33.99012806833705, 31.964547036089026, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0013, 2024-03-01 14:30, , 13, 33.16594481707249, 33.16594481707249, 32.97733755221304, 33.99012806833705, 31.964547036089026, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0014, 2024-03-10 14:30, , 14, 33.13078289107547, 33.13078289107547, 32.97733755221304, 33.99012806833705, 31.964547036089026, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
