experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC1_HIST_0001, 2024-01-08 15:30, , 1, -0.7467405689889088, -0.7467405689889088, -0.06244495975194768, 2.117570165175004, -2.2424600846789, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0002, 2024-01-13 15:30, , 2, -0.6693504408009429, -0.6693504408009429, -0.06244495975194768, 2.117570165175004, -2.2424600846789, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0003, 2024-01-16 12:30, , 3, -0.2921101792414133, -0.2921101792414133, -0.06244495975194768, 2.117570165175004, -2.2424600846789, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0004, 2024-01-23 13:30, , 4, 0.2309442640124622, 0.2309442640124622, -0.06244495975194768, 2.117570165175004, -2.2424600846789, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0005, 2024-01-27 14:30, , 5, -0.6035483619538432, -0.6035483619538432, -0.06244495975194768, 2.117570165175004, -2.2424600846789, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0006, 2024-01-28 13:30, , 6, 0.3727382538220448, 0.3727382538220448, -0.06244495975194768, 2.117570165175004, -2.2424600846789, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0007, 2024-01-31 10:30, , 7, 0.10879500620699852, 0.10879500620699852, -0.06244495975194768, 2.117570165175004, -2.2424600846789, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0008, 2024-02-02 11:30, , 8, -1.4837801405229085, -1.4837801405229085, -0.06244495975194768, 2.117570165175004, -2.2424600846789, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0009, 2024-02-12 11:30, , 9, 0.34447567895062126, 0.34447567895062126, -0.06244495975194768, 2.117570165175004, -2.2424600846789, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0010, 2024-02-13 10:30, , 10, -0.20880132820930009, -0.20880132820930009, -0.06244495975194768, 2.117570165175004, -2.2424600846789, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0011, 2024-02-22 12:30, , 11, 1.1622754655089431, 1.1622754655089431, -0.06244495975194768, 2.117570165175004, -2.2424600846789, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0012, 2024-02-26 10:30, , 12, 0.034790310087926546, 0.034790310087926546, -0.06244495975194768, 2.117570165175004, -2.2424600846789, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0013, 2024-03-01 14:30, , 13, 0.17727249432799846, 0.17727249432799846, -0.06244495975194768, 2.117570165175004, -2.2424600846789, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0014, 2024-03-10 14:30, , 14, -0.5888921553812528, -0.5888921553812528, -0.06244495975194768, 2.117570165175004, -2.2424600846789, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0015, 2024-03-14 11:30, , 15, 0.2369931847860609, 0.2369931847860609, -0.06244495975194768, 2.117570165175004, -2.2424600846789, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0016, 2024-03-15 14:30, , 16, -1.1057086695398393, -1.1057086695398393, -0.06244495975194768, 2.117570165175004, -2.2424600846789, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0017, 2024-03-18 11:30, , 17, -0.03620506916797871, -0.03620506916797871, -0.06244495975194768, 2.117570165175004, -2.2424600846789, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0018, 2024-03-20 10:30, , 18, 0.549408202062221, 0.549408202062221, -0.06244495975194768, 2.117570165175004, -2.2424600846789, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
