experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC1_HIST_0001, 2024-01-08 15:30, , 1, 83, 83, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0002, 2024-01-13 15:30, , 2, 83, 83, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0003, 2024-01-16 12:30, , 3, 112, 112, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0004, 2024-01-23 13:30, , 4, 100, 100, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0005, 2024-01-27 14:30, , 5, 118, 118, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0006, 2024-01-28 13:30, , 6, 111, 111, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0007, 2024-01-31 10:30, , 7, 90, 90, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0008, 2024-02-02 11:30, , 8, 95, 95, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0009, 2024-02-12 11:30, , 9, 75, 75, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0010, 2024-02-13 10:30, , 10, 85, 85, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0011, 2024-02-22 12:30, , 11, 86, 86, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0012, 2024-02-26 10:30, , 12, 113, 113, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0013, 2024-03-01 14:30, , 13, 78, 78, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0014, 2024-03-10 14:30, , 14, 101, 101, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0015, 2024-03-14 11:30, , 15, 99, 99, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0016, 2024-03-15 14:30, , 16, 79, 79, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0017, 2024-03-18 11:30, , 17, 98, 98, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0018, 2024-03-20 10:30, , 18, 91, 91, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0019, 2024-03-23 10:30, , 19, 129, 129, 95.5, 124.8172304285381, 66.1827695714619, , hi, limit, , above c limit, , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0020, 2024-03-26 15:30, , 20, 84, 84, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0021, 2024-04-02 16:30, , 21, 107, 107, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0022, 2024-04-03 11:30, , 22, 85, 85, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0023, 2024-04-17 12:30, , 23, 85, 85, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0024, 2024-05-06 11:30, , 24, 112, 112, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0025, 2024-05-08 11:30, , 25, 110, 110, 95.5, 124.8172304285381, 66.1827695714619, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
