experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC1_HIST_0001, 2024-01-08 15:30, , 1, 127, 127, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0002, 2024-01-13 15:30, , 2, 141, 141, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0003, 2024-01-16 12:30, , 3, 134, 134, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0004, 2024-01-23 13:30, , 4, 86, 86, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0005, 2024-01-27 14:30, , 5, 127, 127, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0006, 2024-01-28 13:30, , 6, 133, 133, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0007, 2024-01-31 10:30, , 7, 142, 142, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0008, 2024-02-02 11:30, , 8, 134, 134, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0009, 2024-02-12 11:30, , 9, 101, 101, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0010, 2024-02-13 10:30, , 10, 141, 141, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0011, 2024-02-22 12:30, , 11, 173, 173, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0012, 2024-02-26 10:30, , 12, 150, 150, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0013, 2024-03-01 14:30, , 13, 121, 121, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0014, 2024-03-10 14:30, , 14, 117, 117, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0015, 2024-03-14 11:30, , 15, 114, 114, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0016, 2024-03-15 14:30, , 16, 133, 133, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0017, 2024-03-18 11:30, , 17, 136, 136, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0018, 2024-03-20 10:30, , 18, 100, 100, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0019, 2024-03-23 10:30, , 19, 131, 131, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0020, 2024-03-26 15:30, , 20, 136, 136, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0021, 2024-04-02 16:30, , 21, 129, 129, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0022, 2024-04-03 11:30, , 22, 112, 112, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0023, 2024-04-17 12:30, , 23, 81, 81, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0024, 2024-05-06 11:30, , 24, 115, 115, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0025, 2024-05-08 11:30, , 25, 110, 110, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0026, 2024-05-14 17:30, , 26, 152, 152, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0027, 2024-05-20 13:30, , 27, 138, 138, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0028, 2024-05-26 11:30, , 28, 92, 92, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0029, 2024-06-10 15:30, , 29, 170, 170, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0030, 2024-06-12 12:30, , 30, 162, 162, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0031, 2024-06-19 13:30, , 31, 121, 121, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0033, 2024-06-20 14:30, , 32, 94, 94, 128.85, 183.58124300111982, 74.11875699888017, , , , , , , B-H11, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
