experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC1_HIST_0001, 2024-01-08 15:30, , 1, 2.50884, 2.50884, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0002, 2024-01-13 15:30, , 2, 2.47248, 2.47248, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0003, 2024-01-16 12:30, , 3, 2.50278, 2.50278, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0004, 2024-01-23 13:30, , 4, 2.4664200000000003, 2.4664200000000003, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0005, 2024-01-27 14:30, , 5, 2.47854, 2.47854, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0006, 2024-01-28 13:30, , 6, 2.50278, 2.50278, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0007, 2024-01-31 10:30, , 7, 2.49066, 2.49066, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0008, 2024-02-02 11:30, , 8, 2.4543, 2.4543, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0009, 2024-02-12 11:30, , 9, 2.47854, 2.47854, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0010, 2024-02-13 10:30, , 10, 2.4664200000000003, 2.4664200000000003, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0011, 2024-02-22 12:30, , 11, 2.47854, 2.47854, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0012, 2024-02-26 10:30, , 12, 2.4543, 2.4543, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0013, 2024-03-01 14:30, , 13, 2.4361200000000003, 2.4361200000000003, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0014, 2024-03-10 14:30, , 14, 2.47854, 2.47854, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0015, 2024-03-14 11:30, , 15, 2.49066, 2.49066, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0016, 2024-03-15 14:30, , 16, 2.4361200000000003, 2.4361200000000003, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0017, 2024-03-18 11:30, , 17, 2.4543, 2.4543, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0018, 2024-03-20 10:30, , 18, 2.4361200000000003, 2.4361200000000003, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0019, 2024-03-23 10:30, , 19, 2.53308, 2.53308, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0020, 2024-03-26 15:30, , 20, 2.4846, 2.4846, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0021, 2024-04-02 16:30, , 21, 2.46036, 2.46036, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0022, 2024-04-03 11:30, , 22, 2.4361200000000003, 2.4361200000000003, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0023, 2024-04-17 12:30, , 23, 2.424, 2.424, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0024, 2024-05-06 11:30, , 24, 2.4361200000000003, 2.4361200000000003, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0025, 2024-05-08 11:30, , 25, 2.3937, 2.3937, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0026, 2024-05-14 17:30, , 26, 2.3755200000000003, 2.3755200000000003, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0027, 2024-05-20 13:30, , 27, 2.3937, 2.3937, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0028, 2024-05-26 11:30, , 28, 2.44824, 2.44824, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0029, 2024-06-10 15:30, , 29, 2.3452200000000003, 2.3452200000000003, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0030, 2024-06-12 12:30, , 30, 2.39976, 2.39976, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0031, 2024-06-19 13:30, , 31, 2.44824, 2.44824, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0033, 2024-06-20 14:30, , 32, 2.35734, 2.35734, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0032, 2024-06-20 16:30, , 33, 2.424, 2.424, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0034, 2024-06-26 12:30, , 34, 2.4058200000000003, 2.4058200000000003, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0035, 2024-06-26 15:30, , 35, 2.38158, 2.38158, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0036, 2024-06-27 12:30, , 36, 2.3755200000000003, 2.3755200000000003, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0037, 2024-06-29 16:30, , 37, 2.41188, 2.41188, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0038, 2024-07-03 15:30, , 38, 2.4058200000000003, 2.4058200000000003, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0039, 2024-07-04 15:30, , 39, 2.41794, 2.41794, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0040, 2024-07-07 14:30, , 40, 2.38158, 2.38158, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0041, 2024-07-18 12:30, , 41, 2.4361200000000003, 2.4361200000000003, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0042, 2024-07-30 17:30, , 42, 2.3452200000000003, 2.3452200000000003, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0043, 2024-07-31 14:30, , 43, 2.36946, 2.36946, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0045, 2024-08-01 14:30, , 44, 2.38158, 2.38158, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0044, 2024-08-01 17:30, , 45, 2.3937, 2.3937, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0047, 2024-08-02 11:30, , 46, 2.38764, 2.38764, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0046, 2024-08-02 12:30, , 47, 2.4058200000000003, 2.4058200000000003, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0048, 2024-08-03 11:30, , 48, 2.39976, 2.39976, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0049, 2024-08-09 16:30, , 49, 2.38158, 2.38158, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0050, 2024-08-11 14:30, , 50, 2.38764, 2.38764, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0051, 2024-08-20 13:30, , 51, 2.36946, 2.36946, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0052, 2024-08-27 14:30, , 52, 2.4058200000000003, 2.4058200000000003, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0053, 2024-09-03 14:30, , 53, 2.35734, 2.35734, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0054, 2024-09-06 14:30, , 54, 2.4058200000000003, 2.4058200000000003, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0056, 2024-09-09 16:30, , 55, 2.3331, 2.3331, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0055, 2024-09-09 17:30, , 56, 2.36946, 2.36946, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0057, 2024-09-16 11:30, , 57, 2.424, 2.424, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0058, 2024-09-26 16:30, , 58, 2.38158, 2.38158, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0059, 2024-09-29 16:30, , 59, 2.33916, 2.33916, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0060, 2024-10-18 16:30, , 60, 2.39976, 2.39976, 2.475207, 2.554792821036162, 2.395621178963838, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0061, 2024-10-22 11:30, , 61, 2.3937, 2.3937, 2.475207, 2.554792821036162, 2.395621178963838, , lo, limit, , off the trend line (3σ), , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
