experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC1_HIST_0001, 2024-01-08 15:30, , 1, 16.245028643040392, 16.245028643040392, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0002, 2024-01-13 15:30, , 2, 16.65930526927982, 16.65930526927982, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0003, 2024-01-16 12:30, , 3, 16.568358506485733, 16.568358506485733, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0004, 2024-01-23 13:30, , 4, 16.54830210605381, 16.54830210605381, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0005, 2024-01-27 14:30, , 5, 16.50541468636918, 16.50541468636918, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0006, 2024-01-28 13:30, , 6, 16.872356708281114, 16.872356708281114, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0007, 2024-01-31 10:30, , 7, 16.259666697311996, 16.259666697311996, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0008, 2024-02-02 11:30, , 8, 16.4170177845527, 16.4170177845527, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0009, 2024-02-12 11:30, , 9, 16.400752450158336, 16.400752450158336, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0010, 2024-02-13 10:30, , 10, 16.662746271342485, 16.662746271342485, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0011, 2024-02-22 12:30, , 11, 16.91412989557007, 16.91412989557007, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0012, 2024-02-26 10:30, , 12, 16.991083019167643, 16.991083019167643, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0013, 2024-03-01 14:30, , 13, 16.943867111273804, 16.943867111273804, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0014, 2024-03-10 14:30, , 14, 16.635151983274792, 16.635151983274792, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0015, 2024-03-14 11:30, , 15, 16.46752674498068, 16.46752674498068, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0016, 2024-03-15 14:30, , 16, 16.45526798225215, 16.45526798225215, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0017, 2024-03-18 11:30, , 17, 16.93197000406815, 16.93197000406815, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0018, 2024-03-20 10:30, , 18, 16.676167543222178, 16.676167543222178, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0019, 2024-03-23 10:30, , 19, 16.86400524919235, 16.86400524919235, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0020, 2024-03-26 15:30, , 20, 17.112457120120876, 17.112457120120876, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0021, 2024-04-02 16:30, , 21, 16.621029327250103, 16.621029327250103, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0022, 2024-04-03 11:30, , 22, 16.825006452167578, 16.825006452167578, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0023, 2024-04-17 12:30, , 23, 16.67980741435994, 16.67980741435994, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0024, 2024-05-06 11:30, , 24, 16.664011534133905, 16.664011534133905, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0025, 2024-05-08 11:30, , 25, 16.798141947533917, 16.798141947533917, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0026, 2024-05-14 17:30, , 26, 16.763644585537843, 16.763644585537843, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0027, 2024-05-20 13:30, , 27, 16.900557405282157, 16.900557405282157, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0028, 2024-05-26 11:30, , 28, 16.948443772675034, 16.948443772675034, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0029, 2024-06-10 15:30, , 29, 16.68342227286024, 16.68342227286024, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0030, 2024-06-12 12:30, , 30, 17.01394223950876, 17.01394223950876, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0031, 2024-06-19 13:30, , 31, 16.826537866394354, 16.826537866394354, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0033, 2024-06-20 14:30, , 32, 17.094074584508913, 17.094074584508913, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0032, 2024-06-20 16:30, , 33, 16.57122465060044, 16.57122465060044, 16.656528788799914, 17.21872858291409, 16.09432899468574, , , , , , , B-H3c, i, 72→40 °C, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
