experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC1_HIST_0001, 2024-01-08 15:30, , 1, -0.5226154299374315, -0.5226154299374315, -0.5016657317710389, -0.470552105338326, -0.5327793582037519, 0.030301049093010846, , , , , , B-H4, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0002, 2024-01-13 15:30, , 2, -0.5046180308947541, -0.5046180308947541, -0.5016657317710389, -0.470552105338326, -0.5327793582037519, 0.03228716065192772, , , , , , B-H4, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0003, 2024-01-16 12:30, , 3, -0.47530306735208494, -0.47530306735208494, -0.5016657317710389, -0.470552105338326, -0.5327793582037519, 0.037000818025334205, , , , , , B-H4, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0004, 2024-01-23 13:30, , 4, -0.4964626070515899, -0.4964626070515899, -0.5016657317710389, -0.470552105338326, -0.5327793582037519, 0.03394767635933208, , , , , , B-H4, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0005, 2024-01-27 14:30, , 5, -0.49603652922791214, -0.49603652922791214, -0.5016657317710389, -0.470552105338326, -0.5327793582037519, 0.03874787352598193, , , , , , B-H4, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0006, 2024-01-28 13:30, , 6, -0.515845748279175, -0.515845748279175, -0.5016657317710389, -0.470552105338326, -0.5327793582037519, 0.03612171418772099, , , , , , B-H4, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0007, 2024-01-31 10:30, , 7, -0.5060720161153752, -0.5060720161153752, -0.5016657317710389, -0.470552105338326, -0.5327793582037519, 0.03908863174883647, , , , , , B-H4, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0008, 2024-02-02 11:30, , 8, -0.4906501870030257, -0.4906501870030257, -0.5016657317710389, -0.470552105338326, -0.5327793582037519, 0.026204161454506374, , , , , , B-H4, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0009, 2024-02-12 11:30, , 9, -0.4982077413370199, -0.4982077413370199, -0.5016657317710389, -0.470552105338326, -0.5327793582037519, 0.031908085524971805, , , , , , B-H4, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0010, 2024-02-13 10:30, , 10, -0.490611072515598, -0.490611072515598, -0.5016657317710389, -0.470552105338326, -0.5327793582037519, 0.041370115400629806, , , , , , B-H4, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0011, 2024-02-22 12:30, , 11, -0.5104279756371104, -0.5104279756371104, -0.5016657317710389, -0.470552105338326, -0.5327793582037519, 0.03694609883997969, , , , , , B-H4, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0012, 2024-02-26 10:30, , 12, -0.5157701834903125, -0.5157701834903125, -0.5016657317710389, -0.470552105338326, -0.5327793582037519, 0.029031632368509194, , , , , , B-H4, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0013, 2024-03-01 14:30, , 13, -0.5019475848969577, -0.5019475848969577, -0.5016657317710389, -0.470552105338326, -0.5327793582037519, 0.029915243861516075, , , , , , B-H4, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0014, 2024-03-10 14:30, , 14, -0.4976320631450893, -0.4976320631450893, -0.5016657317710389, -0.470552105338326, -0.5327793582037519, 0.028192072736245993, , , , , , B-H4, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0015, 2024-03-14 11:30, , 15, -0.5017641033634305, -0.5017641033634305, -0.5016657317710389, -0.470552105338326, -0.5327793582037519, 0.035185780804408526, , , , , , B-H4, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0016, 2024-03-15 14:30, , 16, -0.4949672372866569, -0.4949672372866569, -0.5016657317710389, -0.470552105338326, -0.5327793582037519, 0.032584316846100685, , , , , , B-H4, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0017, 2024-03-18 11:30, , 17, -0.5103851358013242, -0.5103851358013242, -0.5016657317710389, -0.470552105338326, -0.5327793582037519, 0.023555603536137535, , , , , , B-H4, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0018, 2024-03-20 10:30, , 18, -0.5134719304989418, -0.5134719304989418, -0.5016657317710389, -0.470552105338326, -0.5327793582037519, 0.02984857649910131, , , , , , B-H4, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
