experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC1_HIST_0001, 2024-01-08 15:30, , 1, 0.4398973641952105, 0.4398973641952105, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0002, 2024-01-13 15:30, , 2, 0.23439318173846482, 0.23439318173846482, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0003, 2024-01-16 12:30, , 3, 0.300668322195719, 0.300668322195719, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0004, 2024-01-23 13:30, , 4, 0.529746662890134, 0.529746662890134, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0005, 2024-01-27 14:30, , 5, 0.5868809965537197, 0.5868809965537197, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0006, 2024-01-28 13:30, , 6, 0.5170489222668172, 0.5170489222668172, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0007, 2024-01-31 10:30, , 7, 0.48524154478452985, 0.48524154478452985, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0008, 2024-02-02 11:30, , 8, 0.3305651987681303, 0.3305651987681303, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0009, 2024-02-12 11:30, , 9, 0.4481247119332839, 0.4481247119332839, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0010, 2024-02-13 10:30, , 10, 0.3961890576748716, 0.3961890576748716, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0011, 2024-02-22 12:30, , 11, 0.4589979929799967, 0.4589979929799967, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0012, 2024-02-26 10:30, , 12, 0.43945411083024244, 0.43945411083024244, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0013, 2024-03-01 14:30, , 13, 0.18484158301184284, 0.18484158301184284, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0014, 2024-03-10 14:30, , 14, 0.26685711096951437, 0.26685711096951437, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0015, 2024-03-14 11:30, , 15, 0.3223779889268222, 0.3223779889268222, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0016, 2024-03-15 14:30, , 16, 0.24945846814470393, 0.24945846814470393, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0017, 2024-03-18 11:30, , 17, 0.5660035355747981, 0.5660035355747981, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0018, 2024-03-20 10:30, , 18, 0.5099817324573276, 0.5099817324573276, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0019, 2024-03-23 10:30, , 19, 0.36911571905942264, 0.36911571905942264, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0020, 2024-03-26 15:30, , 20, 0.18529684576621736, 0.18529684576621736, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0021, 2024-04-02 16:30, , 21, 0.6272158746102687, 0.6272158746102687, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0022, 2024-04-03 11:30, , 22, 0.412334732175887, 0.412334732175887, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0023, 2024-04-17 12:30, , 23, 0.5173313413917936, 0.5173313413917936, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0024, 2024-05-06 11:30, , 24, 0.10485569765088798, 0.10485569765088798, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0025, 2024-05-08 11:30, , 25, 0.6309337333302097, 0.6309337333302097, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0026, 2024-05-14 17:30, , 26, 0.3253581757210698, 0.3253581757210698, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0027, 2024-05-20 13:30, , 27, 0.4367230635651857, 0.4367230635651857, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0028, 2024-05-26 11:30, , 28, 0.2947630025474224, 0.2947630025474224, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , , , , , , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0029, 2024-06-10 15:30, , 29, 0.7216348549547474, 0.7216348549547474, 0.39105705253608847, 0.7029937814960839, 0.079120323576093, , hi, limit, , beyond 3σ, , B-H9, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
