experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC1_HIST_0001, 2024-01-08 15:30, , 1, 1488.2565964919825, 1519.0150581553348, 1526.704673571173, 1595.248908049628, 1458.1604390927182, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0002, 2024-01-13 15:30, , 2, 1342.1682651293088, 1483.6456995501296, 1526.704673571173, 1614.4841233962281, 1438.925223746118, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0003, 2024-01-16 12:30, , 3, 1648.221683592298, 1516.5608963585632, 1526.704673571173, 1624.8355068482558, 1428.5738402940904, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0004, 2024-01-23 13:30, , 4, 1544.5544084165347, 1522.1595987701576, 1526.704673571173, 1630.9222093394706, 1422.4871378028756, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0005, 2024-01-27 14:30, , 5, 1639.4077395904005, 1545.6092269342062, 1526.704673571173, 1634.6377117368427, 1418.7716354055035, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0006, 2024-01-28 13:30, , 6, 1467.6926046297249, 1530.02590247331, 1526.704673571173, 1636.9499371698757, 1416.4594099724704, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0007, 2024-01-31 10:30, , 7, 1594.0404194877553, 1542.828805876199, 1526.704673571173, 1638.4046453421802, 1415.004701800166, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0008, 2024-02-02 11:30, , 8, 1400.6446389526322, 1514.3919724914858, 1526.704673571173, 1639.325797895917, 1414.0835492464291, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0009, 2024-02-12 11:30, , 9, 1668.097143090428, 1545.1330066112741, 1526.704673571173, 1639.9114020483526, 1413.4979450939936, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0010, 2024-02-13 10:30, , 10, 1528.5585230103763, 1541.8181098910948, 1526.704673571173, 1640.2846041867583, 1413.1247429555879, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0011, 2024-02-22 12:30, , 11, 1492.5278708307112, 1531.9600620790181, 1526.704673571173, 1640.5228113567111, 1412.886535785635, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0012, 2024-02-26 10:30, , 12, 1431.1580127800667, 1511.799652219228, 1526.704673571173, 1640.6750026624622, 1412.734344479884, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0013, 2024-03-01 14:30, , 13, 1411.4873253485498, 1491.7371868450923, 1526.704673571173, 1640.7722985340456, 1412.6370486083006, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0014, 2024-03-10 14:30, , 14, 1591.3083554859013, 1511.6514205732542, 1526.704673571173, 1640.8345243623949, 1412.5748227799513, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0015, 2024-03-14 11:30, , 15, 1537.8876060592186, 1516.8986576704472, 1526.704673571173, 1640.874331093995, 1412.5350160483513, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0016, 2024-03-15 14:30, , 16, 1667.561650226774, 1547.0312561817127, 1526.704673571173, 1640.8998001200744, 1412.5095470222718, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
