experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC1_HIST_0001, 2024-01-08 15:30, , 1, 0.15263740238161044, 0.15263740238161044, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0002, 2024-01-13 15:30, , 2, 0.4543730554775491, 0.4543730554775491, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0003, 2024-01-16 12:30, , 3, 0.287102232312623, 0.287102232312623, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0004, 2024-01-23 13:30, , 4, 0.07342456220338503, 0.07342456220338503, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0005, 2024-01-27 14:30, , 5, 0.258505330704319, 0.258505330704319, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0006, 2024-01-28 13:30, , 6, 0.19156703428900815, 0.19156703428900815, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0007, 2024-01-31 10:30, , 7, 0.20014468421221676, 0.20014468421221676, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0008, 2024-02-02 11:30, , 8, 0.2296295125586036, 0.2296295125586036, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0009, 2024-02-12 11:30, , 9, 0.2830448892869345, 0.2830448892869345, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0010, 2024-02-13 10:30, , 10, 0.10843366808833703, 0.10843366808833703, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0011, 2024-02-22 12:30, , 11, 0.43391034543067275, 0.43391034543067275, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0012, 2024-02-26 10:30, , 12, 0.16605638423008068, 0.16605638423008068, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0013, 2024-03-01 14:30, , 13, 0.09189974158835243, 0.09189974158835243, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0014, 2024-03-10 14:30, , 14, 0.12893072585983967, 0.12893072585983967, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0015, 2024-03-14 11:30, , 15, 0.16979434422598885, 0.16979434422598885, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0016, 2024-03-15 14:30, , 16, 0.11428719833660293, 0.11428719833660293, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0017, 2024-03-18 11:30, , 17, 0.1000080158655274, 0.1000080158655274, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0018, 2024-03-20 10:30, , 18, 0.14898766121903234, 0.14898766121903234, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0019, 2024-03-23 10:30, , 19, 0.21500388388213565, 0.21500388388213565, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0020, 2024-03-26 15:30, , 20, 0.19943187874923116, 0.19943187874923116, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0021, 2024-04-02 16:30, , 21, 0.210292753416791, 0.210292753416791, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0022, 2024-04-03 11:30, , 22, 0.1793942380868733, 0.1793942380868733, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0023, 2024-04-17 12:30, , 23, 0.28267533200257766, 0.28267533200257766, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0024, 2024-05-06 11:30, , 24, 0.3629438621545448, 0.3629438621545448, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0025, 2024-05-08 11:30, , 25, 0.14087065328300985, 0.14087065328300985, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0026, 2024-05-14 17:30, , 26, 0.19185048284861558, 0.19185048284861558, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0027, 2024-05-20 13:30, , 27, 0.1375442239697001, 0.1375442239697001, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0028, 2024-05-26 11:30, , 28, 0.15592639127970137, 0.15592639127970137, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0029, 2024-06-10 15:30, , 29, 0.18615114551989612, 0.18615114551989612, 0.2003586275451025, 0.5008245251955978, -0.10010727010539286, , , , , , , B-O1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
