experiment, date, instrument, operator, firmware, software, block_cycles, run_minutes, edit_delay, bg_median.465-510, bg_median.533-580, plateau_median.465-510, plateau_median.533-580, heat_rate, cool_rate, overshoot, settling, transition.95→60 °C, transition.60→72 °C, transition.72→95 °C, transition.72→40 °C, hold_temp.mean, hold_temp.sd, hold_temp.n, lamp_ref.465-510, lamp_ref.533-580, lamp_drift.465-510, lamp_drift.533-580, exposure.465-510, exposure.533-580, chan_switch, cycle_sd, invalid_acq.bad, invalid_acq.n, templog_late.bad, templog_late.n, pc_amplitude.35S | DEMO-CRM, pc_amplitude.T-NOS | DEMO-CRM, pc_amplitude.HMG | DEMO-CRM, pc_cq.35S | DEMO-CRM, pc_cq.T-NOS | DEMO-CRM, pc_cq.HMG | DEMO-CRM, pc_batch.35S | DEMO-CRM, pc_batch.T-NOS | DEMO-CRM, pc_batch.HMG | DEMO-CRM, ntc_rate.bad, ntc_rate.n, action_rate.bad, action_rate.n, late_rate.bad, late_rate.n, call_disagree.bad, call_disagree.n, rep_sd, rowcol, manual_rate.bad, manual_rate.n, copied.count, findings.count
DEMO_LC1_HIST_0001, 2024-01-08 15:30, LC · LC-DEMO-01, operator-81023fd5, HTC_VER_10, LCS480 1.5.1.62, , 97.5118553233052, -0.7467405689889088, 1191.8808424064873, 1283.0069943393953, 2441.2855168971664, 1235.7128343827437, 4.88436, 2.50884, 5.17, 4.95, 15.189505760619381, 2.4168019046746334, 4.880685525181575, 16.245028643040392, -0.5226154299374315, 0.030301049093010846, 45, 7069, 20422, 0.4398973641952105, -1.8127940073875413, 282, 127, 1045, 55.05687538615108, 0, 90, 16, 12624, 1306.9289731497533, 1488.2565964919825, 1550.2807381024545, 32.829624400845915, 30.35413432205137, 22.99392022705846, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 0, 12, 0, 24, 0, 8, 0.15263740238161044, 0.8712833352862558, 0, 60, 0, 83
DEMO_LC1_HIST_0002, 2024-01-13 15:30, LC · LC-DEMO-01, operator-81023fd5, HTC_VER_10, LCS480 1.5.1.62, , 99.90001068295666, -0.6693504408009429, 1254.4661075531494, 982.6480891883057, 1959.2645540462188, 1325.2160546356133, 4.9146600000000005, 2.47248, 5.23, 4.95, 15.191279719903271, 2.4114049305961, 4.861846003363189, 16.65930526927982, -0.5046180308947541, 0.03228716065192772, 45, 7079, 20855, 0.23439318173846482, -1.6487174490707726, 289, 141, 1047, 53.985336050068994, 0, 90, 29, 12670, 1394.2603614186146, 1342.1682651293088, 1337.42515414033, 32.43447860108722, 30.712768809522323, 23.764839143108727, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 1, 12, 0, 24, 9, 14, 0.4543730554775491, 0.4460935928085394, 0, 60, 0, 83
DEMO_LC1_HIST_0003, 2024-01-16 12:30, LC · LC-DEMO-01, operator-81023fd5, HTC_VER_10, LCS480 1.5.1.62, , 97.55092247611067, -0.2921101792414133, 1691.082529799103, 1563.6785890382534, 2637.1015039561144, 1447.9097153725138, 4.872240000000001, 2.50278, 5.21, 4.95, 15.198369034389126, 2.416084459870352, 4.865999227333112, 16.568358506485733, -0.47530306735208494, 0.037000818025334205, 45, 7113, 20472, 0.300668322195719, -3.390819149439911, 219, 134, 1046, 42.9842254740828, 0, 90, 21, 12666, 1337.3851999047574, 1648.221683592298, 1501.2217743654646, 33.093828252453754, 31.894565638335294, 23.34577091553686, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 1, 6, 0, 12, 0, 24, 5, 14, 0.287102232312623, 0.33515077383695857, 0, 60, 0, 112
DEMO_LC1_HIST_0004, 2024-01-23 13:30, LC · LC-DEMO-01, operator-538c64e4, HTC_VER_10, LCS480 1.5.1.62, , 97.60072221680954, 0.2309442640124622, 1637.8478384650755, 1285.8302720695085, 2929.980715482342, 1211.2353546772044, 4.8783, 2.4664200000000003, 5.3, 4.95, 15.210735824023516, 2.4184113442907456, 4.860079790663113, 16.54830210605381, -0.4964626070515899, 0.03394767635933208, 45, 7033, 20784, 0.529746662890134, -2.9636315287946724, 225, 86, 1043, 52.879589303265355, 0, 90, 32, 12669, 1444.2605035979484, 1544.5544084165347, 1315.120776341004, 32.95831251862781, 31.731611989623644, 22.912819002733816, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 0, 12, 0, 24, 13, 22, 0.07342456220338503, 0.42768528551172164, 0, 60, 0, 100
DEMO_LC1_HIST_0005, 2024-01-27 14:30, LC · LC-DEMO-01, operator-96fc0cae, HTC_VER_10, LCS480 1.5.1.62, , 97.57913754782693, -0.6035483619538432, 1566.1698125519752, 1183.4306866022064, 3154.905516313313, 1043.1148587772955, 4.9146600000000005, 2.47854, 5.23, 4.95, 15.271392186457271, 2.419918383449276, 4.904113596954587, 16.50541468636918, -0.49603652922791214, 0.03874787352598193, 45, 7056, 20505, 0.5868809965537197, -2.721751439999352, 247, 127, 1046, 39.47903249863133, 0, 90, 19, 12624, 1542.8981460123873, 1639.4077395904005, 1625.222775819523, 32.85862481144946, 30.862238366301042, 23.05701167773391, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 1, 12, 0, 24, 5, 14, 0.258505330704319, 0.49706596804123016, 0, 60, 0, 118
DEMO_LC1_HIST_0006, 2024-01-28 13:30, LC · LC-DEMO-01, operator-96fc0cae, HTC_VER_10, LCS480 1.5.1.62, , 97.51994450727221, 0.3727382538220448, 1774.2852450990865, 1509.0080960465423, 2543.643936127032, 1443.1449880456432, 4.8783, 2.50278, 5.2700000000000005, 4.95, 15.194259202507407, 2.418672219194996, 4.872278787343051, 16.872356708281114, -0.515845748279175, 0.03612171418772099, 45, 7044, 20733, 0.5170489222668172, -3.2299914482723215, 252, 133, 1048, 77.06854891531722, 0, 90, 21, 12624, 1515.8172305677722, 1467.6926046297249, 1451.4065985352308, 32.688241234232876, 31.5046774281186, 23.54976443872461, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 0, 12, 0, 24, 4, 10, 0.19156703428900815, 0.5284751022144806, 0, 60, 0, 111
DEMO_LC1_HIST_0007, 2024-01-31 10:30, LC · LC-DEMO-01, operator-96fc0cae, HTC_VER_10, LCS480 1.5.1.62, , 97.6144171429707, 0.10879500620699852, 1729.8496092326036, 1486.4803728409886, 2365.486122063516, 1135.9641378233887, 4.8783, 2.49066, 5.28, 4.95, 15.236533607970939, 2.417568161252462, 4.8860165878152, 16.259666697311996, -0.5060720161153752, 0.03908863174883647, 45, 7056, 20721, 0.48524154478452985, -3.808547678910075, 220, 142, 1049, 39.780394747095336, 0, 90, 18, 12624, 1533.5902096050934, 1594.0404194877553, 1455.7390274269121, 33.20580199036323, 30.48848221088579, 23.16667395349017, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 0, 12, 0, 24, 0, 8, 0.20014468421221676, 0.873551719898062, 0, 60, 1, 90
DEMO_LC1_HIST_0008, 2024-02-02 11:30, LC · LC-DEMO-01, operator-96fc0cae, HTC_VER_10, LCS480 1.5.1.62, , 97.50218014974564, -1.4837801405229085, 1631.180903137292, 1103.2478320102537, 2970.9048666619187, 1002.1389462043284, 4.890420000000001, 2.4543, 5.33, 4.95, 15.243037390532427, 2.418812368205854, 4.886217477911268, 16.4170177845527, -0.4906501870030257, 0.026204161454506374, 45, 7082, 20646, 0.3305651987681303, -1.9214678658011952, 243, 134, 1049, 47.61972632669586, 0, 90, 27, 12666, 1542.9861415965129, 1400.6446389526322, 1284.3576237781322, 33.17814424307887, 30.92815744413553, 23.09846233261825, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 0, 12, 0, 24, 2, 12, 0.2296295125586036, 0.38221070656687023, 0, 60, 1, 95
DEMO_LC1_HIST_0009, 2024-02-12 11:30, LC · LC-DEMO-01, operator-81023fd5, HTC_VER_10, LCS480 1.5.1.62, , 97.54967022568549, 0.34447567895062126, 1632.0907852263342, 934.1698688290658, 2593.8622517883864, 1404.4755976831661, 4.88436, 2.47854, 5.22, 4.95, 15.248933420663914, 2.4199639883187434, 4.899340595867649, 16.400752450158336, -0.4982077413370199, 0.031908085524971805, 45, 7069, 20848, 0.4481247119332839, -3.296972099331895, 261, 101, 1051, 42.352649541528635, 0, 90, 32, 12670, 1478.7143243267149, 1668.097143090428, 1531.7688314319355, 32.892140690489185, 30.62171640634446, 23.205928684927173, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 0, 12, 0, 24, 8, 14, 0.2830448892869345, 0.4487181444373499, 1, 60, 0, 75
DEMO_LC1_HIST_0010, 2024-02-13 10:30, LC · LC-DEMO-01, operator-538c64e4, HTC_VER_10, LCS480 1.5.1.62, , 97.54475063999875, -0.20880132820930009, 1584.2439700663526, 1242.6103530350229, 2183.2968335566834, 1975.3403853490777, 4.8783, 2.4664200000000003, 5.11, 4.95, 15.169398165313662, 2.41165805322253, 4.88628314336716, 16.662746271342485, -0.490611072515598, 0.041370115400629806, 45, 7071, 20821, 0.3961890576748716, -2.685516506678118, 250, 141, 1051, 25.867581751330988, 0, 90, 15, 12623, 1508.787063223954, 1528.5585230103763, 1350.2965053228886, 32.4434461828326, 30.23210336302967, 23.099309256161206, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 0, 12, 0, 24, 3, 10, 0.10843366808833703, 0.3047121347929849, 0, 60, 0, 85
