code, chart, group, variant, runs, status, detail, latest, unit, alarms, chart_type, file
B-H3, Overshoot at the denaturation step, hardware, , 55, watch, signal in the last 5 runs, 5.34, °C, 29, cusum, B-H3_overshoot.svg
B-H3c, Transition time A → B °C, hardware, 95→60 °C, 55, watch, signal in the last 5 runs, 15.349613372611445, s, 26, i, B-H3c_transition_95-to-60.svg
B-H3c, Transition time A → B °C, hardware, 72→95 °C, 55, watch, signal in the last 5 runs, 4.872771470465345, s, 6, i, B-H3c_transition_72-to-95.svg
B-H3c, Transition time A → B °C, hardware, 72→40 °C, 55, watch, signal in the last 5 runs, 16.51720058635359, s, 17, i, B-H3c_transition_72-to-40.svg
B-H4, Temperature at the moment of reading, hardware, , 55, watch, signal in the last 5 runs, -0.4397761352433427, °C from setpoint, 1, xbars, B-H4_hold_temp.svg
B-M10, Late signal / stochastic-zone results, method, , 55, watch, signal in the last 5 runs, 0, share of results, 3, p, B-M10_late_rate.svg
B-O1, "Replicate precision (pooled SD,  Cq < 30)", operator, , 55, watch, signal in the last 5 runs, 0.2268056614323291, Cq SD, 5, i, B-O1_rep_sd.svg
B-O5, Contamination rate by operator (funnel), operator, legacy pooled (stage unknown), 55, watch, 1 outside 95 %, , share of NTC wells, 1, funnel, B-O5_ntc_op_legacy_pooled_stage_unknown.svg
B-S11, Invalid fluorescence readings, software, , 55, watch, signal in the last 5 runs, 0, share of readings, 3, p, B-S11_invalid_acq.svg
A-H3, Background fluorescence per channel, hardware, 465-510, 55, in control, in control, 1552.0849105985212, fluorescence, 0, i, A-H3_bg_median_465-510.svg
A-H3, Background fluorescence per channel, hardware, 533-580, 55, in control, in control, 1515.626801875834, fluorescence, 0, i, A-H3_bg_median_533-580.svg
A-H3b, End-point fluorescence per channel, hardware, 465-510, 55, in control, in control, 2723.394647708076, fluorescence, 0, i, A-H3b_plateau_median_465-510.svg
A-H3b, End-point fluorescence per channel, hardware, 533-580, 55, in control, in control, 1486.5454766476792, fluorescence, 0, i, A-H3b_plateau_median_533-580.svg
A-H4, Run duration, hardware, , 55, in control, in control, 70.31091082142378, minutes, 0, i, A-H4_run_minutes.svg
A-M1, Positive control Cq (Levey-Jennings), method, 35S | DEMO-CRM, 55, in control, in control, 32.53755064177931, Cq, 0, i, A-M1_pc_cq_35S_DEMO-CRM.svg
A-M1, Positive control Cq (Levey-Jennings), method, T-NOS | DEMO-CRM, 55, in control, in control, 31.11817376810499, Cq, 2, i, A-M1_pc_cq_T-NOS_DEMO-CRM.svg
A-M1, Positive control Cq (Levey-Jennings), method, HMG | DEMO-CRM, 55, in control, in control, 22.929532762152633, Cq, 0, i, A-M1_pc_cq_HMG_DEMO-CRM.svg
A-S4, Run end → last change, software, , 55, in control, in control, -0.47561828215216867, log10 hours, 0, i, A-S4_edit_delay.svg
A-S6, Forensic findings per run, software, , 55, in control, in control, 115, findings, 0, c, A-S6_findings.svg
B-H1, Peak heating rate (2-s window), hardware, , 55, in control, in control, 4.78134, °C/s, 0, trend, B-H1_heat_rate.svg
B-H11, Automatic integration time / exposure, hardware, 465-510, 55, in control, in control, 225, ms, 0, i, B-H11_exposure_465-510.svg
B-H11, Automatic integration time / exposure, hardware, 533-580, 55, in control, in control, 280, ms, 0, i, B-H11_exposure_533-580.svg
B-H17, Channel switch time, hardware, , 55, in control, in control, 1038, ms, 2, i, B-H17_chan_switch.svg
