experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC2_HIST_0001, 2025-01-14 11:30, , 1, 829.8868025882973, 829.8868025882973, 1711.0199069690905, 2649.869170269778, 772.170643668403, , , , , , , A-H3, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0002, 2025-01-22 14:30, , 2, 1714.6633089983443, 1714.6633089983443, 1711.0199069690905, 2649.869170269778, 772.170643668403, , , , , , , A-H3, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0003, 2025-01-24 14:30, , 3, 1904.597526595051, 1904.597526595051, 1711.0199069690905, 2649.869170269778, 772.170643668403, , , , , , , A-H3, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0004, 2025-02-10 12:30, , 4, 1488.158610559612, 1488.158610559612, 1711.0199069690905, 2649.869170269778, 772.170643668403, , , , , , , A-H3, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0005, 2025-02-12 13:30, , 5, 1765.6673567063424, 1765.6673567063424, 1711.0199069690905, 2649.869170269778, 772.170643668403, , , , , , , A-H3, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0006, 2025-02-14 10:30, , 6, 1638.9834235441913, 1638.9834235441913, 1711.0199069690905, 2649.869170269778, 772.170643668403, , , , , , , A-H3, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0007, 2025-03-10 10:30, , 7, 2070.841689338727, 2070.841689338727, 1711.0199069690905, 2649.869170269778, 772.170643668403, , , , , , , A-H3, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0008, 2025-03-16 12:30, , 8, 1422.7808538966683, 1422.7808538966683, 1711.0199069690905, 2649.869170269778, 772.170643668403, , , , , , , A-H3, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0009, 2025-04-17 15:30, , 9, 1851.6200896583985, 1851.6200896583985, 1711.0199069690905, 2649.869170269778, 772.170643668403, , , , , , , A-H3, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0010, 2025-05-02 14:30, , 10, 1958.6801430929868, 1958.6801430929868, 1711.0199069690905, 2649.869170269778, 772.170643668403, , , , , , , A-H3, i, 533-580, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
