experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC2_HIST_0001, 2025-01-14 11:30, , 1, 23.093781117259617, 23.093781117259617, 23.09707889756183, 23.547784824811576, 22.646372970312083, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0002, 2025-01-22 14:30, , 2, 22.82241086863981, 22.82241086863981, 23.09707889756183, 23.547784824811576, 22.646372970312083, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0003, 2025-01-24 14:30, , 3, 23.502684563472805, 23.502684563472805, 23.09707889756183, 23.547784824811576, 22.646372970312083, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0004, 2025-02-10 12:30, , 4, 22.884450542110994, 22.884450542110994, 23.09707889756183, 23.547784824811576, 22.646372970312083, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0005, 2025-02-12 13:30, , 5, 23.095341845243414, 23.095341845243414, 23.09707889756183, 23.547784824811576, 22.646372970312083, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0006, 2025-02-14 10:30, , 6, 23.13926702015617, 23.13926702015617, 23.09707889756183, 23.547784824811576, 22.646372970312083, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0007, 2025-03-10 10:30, , 7, 23.04310661236333, 23.04310661236333, 23.09707889756183, 23.547784824811576, 22.646372970312083, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0008, 2025-03-16 12:30, , 8, 23.361211144802507, 23.361211144802507, 23.09707889756183, 23.547784824811576, 22.646372970312083, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0009, 2025-04-17 15:30, , 9, 23.27770205945835, 23.27770205945835, 23.09707889756183, 23.547784824811576, 22.646372970312083, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0010, 2025-05-02 14:30, , 10, 23.20648671839652, 23.20648671839652, 23.09707889756183, 23.547784824811576, 22.646372970312083, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0011, 2025-05-11 15:30, , 11, 23.094656895710976, 23.094656895710976, 23.09707889756183, 23.547784824811576, 22.646372970312083, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
