experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC2_HIST_0001, 2025-01-14 11:30, , 1, 30.619758613528028, 30.619758613528028, 31.26880372390901, 32.35522869283488, 30.18237875498314, , , , extracted 2023-11-20, , , A-M1, i, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0002, 2025-01-22 14:30, , 2, 30.65096364666373, 30.65096364666373, 31.26880372390901, 32.35522869283488, 30.18237875498314, , , , extracted 2023-11-20, , , A-M1, i, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0003, 2025-01-24 14:30, , 3, 31.172781173384795, 31.172781173384795, 31.26880372390901, 32.35522869283488, 30.18237875498314, , , , extracted 2023-11-20, , , A-M1, i, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0004, 2025-02-10 12:30, , 4, 31.20685240428205, 31.20685240428205, 31.26880372390901, 32.35522869283488, 30.18237875498314, , , , extracted 2023-11-20, , , A-M1, i, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0005, 2025-02-12 13:30, , 5, 31.390493460381443, 31.390493460381443, 31.26880372390901, 32.35522869283488, 30.18237875498314, , , , extracted 2023-11-20, , , A-M1, i, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0006, 2025-02-14 10:30, , 6, 31.004838742829143, 31.004838742829143, 31.26880372390901, 32.35522869283488, 30.18237875498314, , , , extracted 2023-11-20, , , A-M1, i, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0007, 2025-03-10 10:30, , 7, 32.05769979325958, 32.05769979325958, 31.26880372390901, 32.35522869283488, 30.18237875498314, , , , extracted 2023-11-20, , , A-M1, i, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0008, 2025-03-16 12:30, , 8, 32.11072645560542, 32.11072645560542, 31.26880372390901, 32.35522869283488, 30.18237875498314, , hi, rule, extracted 2023-11-20, 2-2s, , A-M1, i, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0009, 2025-04-17 15:30, , 9, 31.193941559663113, 31.193941559663113, 31.26880372390901, 32.35522869283488, 30.18237875498314, , , , extracted 2023-11-20, , , A-M1, i, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0010, 2025-05-02 14:30, , 10, 30.689812595791057, 30.689812595791057, 31.26880372390901, 32.35522869283488, 30.18237875498314, , , , extracted 2023-11-20, , , A-M1, i, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0011, 2025-05-11 15:30, , 11, 31.272021341445075, 31.272021341445075, 31.26880372390901, 32.35522869283488, 30.18237875498314, , , , extracted 2023-11-20, , , A-M1, i, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
