experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC2_HIST_0001, 2025-01-14 11:30, , 1, 4.72074, 4.72074, 4.770735, 4.827542449775536, 4.713927550224464, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0002, 2025-01-22 14:30, , 2, 4.76316, 4.76316, 4.770735, 4.827542449775536, 4.713927550224464, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0003, 2025-01-24 14:30, , 3, 4.77528, 4.77528, 4.770735, 4.827542449775536, 4.713927550224464, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0004, 2025-02-10 12:30, , 4, 4.77528, 4.77528, 4.770735, 4.827542449775536, 4.713927550224464, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0005, 2025-02-12 13:30, , 5, 4.77528, 4.77528, 4.770735, 4.827542449775536, 4.713927550224464, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0006, 2025-02-14 10:30, , 6, 4.76316, 4.76316, 4.770735, 4.827542449775536, 4.713927550224464, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0007, 2025-03-10 10:30, , 7, 4.7874, 4.7874, 4.770735, 4.827542449775536, 4.713927550224464, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0008, 2025-03-16 12:30, , 8, 4.76316, 4.76316, 4.770735, 4.827542449775536, 4.713927550224464, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0009, 2025-04-17 15:30, , 9, 4.77528, 4.77528, 4.770735, 4.827542449775536, 4.713927550224464, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0010, 2025-05-02 14:30, , 10, 4.76922, 4.76922, 4.770735, 4.827542449775536, 4.713927550224464, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0011, 2025-05-11 15:30, , 11, 4.7874, 4.7874, 4.770735, 4.827542449775536, 4.713927550224464, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0012, 2025-05-14 13:30, , 12, 4.79952, 4.79952, 4.770735, 4.827542449775536, 4.713927550224464, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0013, 2025-06-13 13:30, , 13, 4.7874, 4.7874, 4.770735, 4.827542449775536, 4.713927550224464, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0014, 2025-06-15 11:30, , 14, 4.7934600000000005, 4.7934600000000005, 4.770735, 4.827542449775536, 4.713927550224464, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
