experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC2_HIST_0001, 2025-01-14 11:30, , 1, 5.32, 0, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0002, 2025-01-22 14:30, , 2, 5.41, 0.279345454545467, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0003, 2025-01-24 14:30, , 3, 5.34, 0, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0004, 2025-02-10 12:30, , 4, 5.3500000000000005, 0, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0005, 2025-02-12 13:30, , 5, 5.36, 0, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0006, 2025-02-14 10:30, , 6, 5.4, 0.001007792207810776, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0007, 2025-03-10 10:30, , 7, 5.3500000000000005, 0, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0008, 2025-03-16 12:30, , 8, 5.3500000000000005, 0, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0009, 2025-04-17 15:30, , 9, 5.46, 1.6710337662337729, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0010, 2025-05-02 14:30, , 10, 5.39, 1.3937038961039028, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0011, 2025-05-11 15:30, , 11, 5.39, 1.1163740259740327, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0012, 2025-05-14 13:30, , 12, 5.3500000000000005, 0, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0013, 2025-06-13 13:30, , 13, 5.32, 0, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0014, 2025-06-15 11:30, , 14, 5.41, 0.279345454545467, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0015, 2025-06-16 15:30, , 15, 5.4, 0.2803532467532778, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0016, 2025-06-24 17:30, , 16, 5.41, 0.5596987012987449, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0017, 2025-06-26 12:30, , 17, 5.39, 0.2823688311688748, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0018, 2025-07-28 14:30, , 18, 5.41, 0.5617142857143418, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0020, 2025-08-14 14:30, , 19, 5.38, 0.006046753246815473, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0019, 2025-08-14 16:30, , 20, 5.45, 1.3987428571429321, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0021, 2025-08-16 15:30, , 21, 5.44, 2.5131012987013923, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0022, 2025-08-18 14:30, , 22, 5.38, 1.9574337662338661, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0023, 2025-08-26 11:30, , 23, 5.29, 0, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0024, 2025-08-27 17:30, , 24, 5.3500000000000005, 0, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0025, 2025-08-27 17:30, , 25, 5.48, 2.22770909090911, 0, 4, -4, , , , , , , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0026, 2025-08-29 16:30, , 26, 5.54, 6.125444155844182, 0, 4, -4, , hi, limit, , upward shift (CUSUM), , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0028, 2025-09-06 12:30, , 27, 5.41, 6.404789610389649, 0, 4, -4, , hi, limit, , upward shift (CUSUM), , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0027, 2025-09-06 16:30, , 28, 5.44, 7.519148051948109, 0, 4, -4, , hi, limit, , upward shift (CUSUM), , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0029, 2025-09-26 13:30, , 29, 5.4, 7.520155844155919, 0, 4, -4, , hi, limit, , upward shift (CUSUM), , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0030, 2025-10-17 14:30, , 30, 5.36, 6.407812987013081, 0, 4, -4, , hi, limit, , upward shift (CUSUM), , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0031, 2025-11-10 14:30, , 31, 5.43, 7.243833766233861, 0, 4, -4, , hi, limit, , upward shift (CUSUM), , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0032, 2025-11-16 11:30, , 32, 5.4, 7.244841558441672, 0, 4, -4, , hi, limit, , upward shift (CUSUM), , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0033, 2025-11-18 15:30, , 33, 5.41, 7.524187012987138, 0, 4, -4, , hi, limit, , upward shift (CUSUM), , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0034, 2025-11-20 10:30, , 34, 5.44, 8.638545454545598, 0, 4, -4, , hi, limit, , upward shift (CUSUM), , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0035, 2025-11-21 13:30, , 35, 5.37, 7.804540259740415, 0, 4, -4, , hi, limit, , upward shift (CUSUM), , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0036, 2025-11-22 16:30, , 36, 5.32, 5.578846753246927, 0, 4, -4, , hi, limit, , upward shift (CUSUM), , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0037, 2025-11-23 16:30, , 37, 5.4, 5.5798545454547375, 0, 4, -4, , hi, limit, , upward shift (CUSUM), , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0038, 2025-12-06 15:30, , 38, 5.38, 5.024187012987211, 0, 4, -4, , hi, limit, , upward shift (CUSUM), , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0039, 2025-12-16 10:30, , 39, 5.44, 6.138545454545671, 0, 4, -4, , hi, limit, , upward shift (CUSUM), , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0040, 2025-12-20 11:30, , 40, 5.38, 5.582877922078144, 0, 4, -4, , hi, limit, , upward shift (CUSUM), , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0041, 2025-12-22 13:30, , 41, 5.37, 4.748872727272962, 0, 4, -4, , hi, limit, , upward shift (CUSUM), , B-H3, cusum, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
