experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC2_HIST_0001, 2025-01-14 11:30, , 1, 6879, 6879, 6878, 7071.868980963046, 6684.131019036954, , , , , , , B-H8, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0002, 2025-01-22 14:30, , 2, 6824, 6824, 6878, 7071.868980963046, 6684.131019036954, , , , , , , B-H8, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0003, 2025-01-24 14:30, , 3, 6850, 6850, 6878, 7071.868980963046, 6684.131019036954, , , , , , , B-H8, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0004, 2025-02-10 12:30, , 4, 6825, 6825, 6878, 7071.868980963046, 6684.131019036954, , , , , , , B-H8, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0005, 2025-02-12 13:30, , 5, 6862, 6862, 6878, 7071.868980963046, 6684.131019036954, , , , , , , B-H8, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0006, 2025-02-14 10:30, , 6, 6840, 6840, 6878, 7071.868980963046, 6684.131019036954, , , , , , , B-H8, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0007, 2025-03-10 10:30, , 7, 6866, 6866, 6878, 7071.868980963046, 6684.131019036954, , , , , , , B-H8, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0008, 2025-03-16 12:30, , 8, 6898, 6898, 6878, 7071.868980963046, 6684.131019036954, , , , , , , B-H8, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0009, 2025-04-17 15:30, , 9, 6897, 6897, 6878, 7071.868980963046, 6684.131019036954, , , , , , , B-H8, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0010, 2025-05-02 14:30, , 10, 6841, 6841, 6878, 7071.868980963046, 6684.131019036954, , , , , , , B-H8, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0011, 2025-05-11 15:30, , 11, 6854, 6854, 6878, 7071.868980963046, 6684.131019036954, , , , , , , B-H8, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0012, 2025-05-14 13:30, , 12, 6901, 6901, 6878, 7071.868980963046, 6684.131019036954, , , , , , , B-H8, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0013, 2025-06-13 13:30, , 13, 6870, 6870, 6878, 7071.868980963046, 6684.131019036954, , , , , , , B-H8, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0014, 2025-06-15 11:30, , 14, 6845, 6845, 6878, 7071.868980963046, 6684.131019036954, , , , , , , B-H8, i, 465-510, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
