experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC2_HIST_0001, 2025-01-14 11:30, , 1, 1237.199262797245, 1447.3713112362486, 1499.9143233459995, 1586.7449988101816, 1413.0836478818173, , , , extracted 2023-11-20, , , B-M1, ewma, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0002, 2025-01-22 14:30, , 2, 1615.7871114037885, 1481.0544712697565, 1499.9143233459995, 1611.1118438694737, 1388.7168028225253, , , , extracted 2023-11-20, , , B-M1, ewma, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0003, 2025-01-24 14:30, , 3, 1472.882174209695, 1479.4200118577444, 1499.9143233459995, 1624.2248011293705, 1375.6038455626285, , , , extracted 2023-11-20, , , B-M1, ewma, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0004, 2025-02-10 12:30, , 4, 1684.3563253083287, 1520.4072745478613, 1499.9143233459995, 1631.93533276902, 1367.893313922979, , , , extracted 2023-11-20, , , B-M1, ewma, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0005, 2025-02-12 13:30, , 5, 1513.24318570479, 1518.9744567792472, 1499.9143233459995, 1636.6420682852513, 1363.1865784067477, , , , extracted 2023-11-20, , , B-M1, ewma, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0006, 2025-02-14 10:30, , 6, 1755.2284391285937, 1566.2252532491166, 1499.9143233459995, 1639.571156307072, 1360.257490384927, , , , extracted 2023-11-20, , , B-M1, ewma, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0007, 2025-03-10 10:30, , 7, 1491.7888392747527, 1551.337970454244, 1499.9143233459995, 1641.4139559847629, 1358.414690707236, , , , extracted 2023-11-20, , , B-M1, ewma, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0008, 2025-03-16 12:30, , 8, 1666.8933006326317, 1574.4490364899216, 1499.9143233459995, 1642.5808564404338, 1357.2477902515652, , , , extracted 2023-11-20, , , B-M1, ewma, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0009, 2025-04-17 15:30, , 9, 1629.516193167612, 1585.46246782546, 1499.9143233459995, 1643.3226898637336, 1356.5059568282654, , , , extracted 2023-11-20, , , B-M1, ewma, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0010, 2025-05-02 14:30, , 10, 1408.652747406507, 1550.1005237416693, 1499.9143233459995, 1643.7954560126157, 1356.0331906793833, , , , extracted 2023-11-20, , , B-M1, ewma, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0011, 2025-05-11 15:30, , 11, 1559.4729908445672, 1551.975017162249, 1499.9143233459995, 1644.097212821555, 1355.7314338704439, , , , extracted 2023-11-20, , , B-M1, ewma, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0012, 2025-05-14 13:30, , 12, 1428.268150312397, 1527.2336437922786, 1499.9143233459995, 1644.290006190373, 1355.5386405016259, , , , extracted 2023-11-20, , , B-M1, ewma, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0013, 2025-06-13 13:30, , 13, 1478.3074040187848, 1517.44839583758, 1499.9143233459995, 1644.4132589528226, 1355.4153877391764, , , , extracted 2023-11-20, , , B-M1, ewma, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0014, 2025-06-15 11:30, , 14, 1442.815592755389, 1502.5218352211418, 1499.9143233459995, 1644.4920855784023, 1355.3365611135966, , , , extracted 2023-11-20, , , B-M1, ewma, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0015, 2025-06-16 15:30, , 15, 1682.6256581205894, 1538.5425998010314, 1499.9143233459995, 1644.5425120718799, 1355.2861346201191, , , , extracted 2023-11-20, , , B-M1, ewma, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0016, 2025-06-24 17:30, , 16, 1359.7141097629476, 1502.776901793415, 1499.9143233459995, 1644.5747758028083, 1355.2538708891907, , , , extracted 2023-11-20, , , B-M1, ewma, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0017, 2025-06-26 12:30, , 17, 1319.883866116048, 1466.1982946579417, 1499.9143233459995, 1644.595420814783, 1355.233225877216, , , , extracted 2023-11-20, , , B-M1, ewma, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
