experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC2_HIST_0001, 2025-01-14 11:30, , 1, 1493.4183468124816, 1483.9574680999515, 1481.5922484218188, 1535.3882996976486, 1427.796197145989, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0002, 2025-01-22 14:30, , 2, 1561.9491084291585, 1499.555796165793, 1481.5922484218188, 1550.484808382308, 1412.6996884613295, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0003, 2025-01-24 14:30, , 3, 1479.1460494010005, 1495.4738468128346, 1481.5922484218188, 1558.6089571046355, 1404.5755397390021, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0004, 2025-02-10 12:30, , 4, 1568.6051196063177, 1510.1001013715313, 1481.5922484218188, 1563.38602642067, 1399.7984704229675, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0005, 2025-02-12 13:30, , 5, 1378.9649817399145, 1483.8730774452079, 1481.5922484218188, 1566.302090171405, 1396.8824066722325, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0006, 2025-02-14 10:30, , 6, 1497.1192713959013, 1486.5223162353466, 1481.5922484218188, 1568.1168102409074, 1395.0676866027302, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0007, 2025-03-10 10:30, , 7, 1478.428049850362, 1484.9034629583498, 1481.5922484218188, 1569.2585190370462, 1393.9259778065914, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0008, 2025-03-16 12:30, , 8, 1305.9289374395717, 1449.1085578545944, 1481.5922484218188, 1569.9814736427945, 1393.203023200843, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0009, 2025-04-17 15:30, , 9, 1414.9815763957229, 1442.2831615628202, 1481.5922484218188, 1570.4410774483001, 1392.7434193953375, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0010, 2025-05-02 14:30, , 10, 1602.112828347133, 1474.2490949196829, 1481.5922484218188, 1570.7339802945671, 1392.4505165490705, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0011, 2025-05-11 15:30, , 11, 1750.942443374659, 1529.5877646106783, 1481.5922484218188, 1570.920934094935, 1392.2635627487025, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0012, 2025-05-14 13:30, , 12, 1426.6406210773387, 1508.9983359040104, 1481.5922484218188, 1571.0403794625902, 1392.1441173810474, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0013, 2025-06-13 13:30, , 13, 1413.8763685872761, 1489.9739424406637, 1481.5922484218188, 1571.116740862443, 1392.0677559811945, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0014, 2025-06-15 11:30, , 14, 1515.3225767441015, 1495.0436693013514, 1481.5922484218188, 1571.165577994815, 1392.0189188488225, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0015, 2025-06-16 15:30, , 15, 1379.5901275134675, 1471.9529609437748, 1481.5922484218188, 1571.1968197905776, 1391.98767705306, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0016, 2025-06-24 17:30, , 16, 1527.833652463498, 1483.1290992477195, 1481.5922484218188, 1571.2168088245692, 1391.9676880190684, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0017, 2025-06-26 12:30, , 17, 1454.9807772563595, 1477.4994348494477, 1481.5922484218188, 1571.2295994670105, 1391.954897376627, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0018, 2025-07-28 14:30, , 18, 1402.6277719071984, 1462.5251022609978, 1481.5922484218188, 1571.2377845204278, 1391.9467123232098, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0020, 2025-08-14 14:30, , 19, 1474.1283823854722, 1464.8457582858928, 1481.5922484218188, 1571.2430225624373, 1391.9414742812003, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0019, 2025-08-14 16:30, , 20, 1505.247977709446, 1472.9262021706033, 1481.5922484218188, 1571.2463747487175, 1391.9381220949201, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0021, 2025-08-16 15:30, , 21, 1516.319146570482, 1481.6047910505793, 1481.5922484218188, 1571.2485200821607, 1391.935976761477, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0022, 2025-08-18 14:30, , 22, 1499.7702961024097, 1485.2378920609453, 1481.5922484218188, 1571.2498930686243, 1391.9346037750133, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0023, 2025-08-26 11:30, , 23, 1413.919092230613, 1470.9741320948788, 1481.5922484218188, 1571.2507717689268, 1391.9337250747108, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0024, 2025-08-27 17:30, , 24, 1695.2451111981015, 1515.8283279155235, 1481.5922484218188, 1571.2513341326012, 1391.9331627110364, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0025, 2025-08-27 17:30, , 25, 1423.7823061818585, 1497.4191235687906, 1481.5922484218188, 1571.2516940435016, 1391.932802800136, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0026, 2025-08-29 16:30, , 26, 1651.1117296387943, 1528.1576447827913, 1481.5922484218188, 1571.2519243857198, 1391.9325724579178, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0028, 2025-09-06 12:30, , 27, 1721.3443728246007, 1566.7949903911533, 1481.5922484218188, 1571.2520718044289, 1391.9324250392087, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0027, 2025-09-06 16:30, , 28, 1496.3520503013794, 1552.7064023731987, 1481.5922484218188, 1571.2521661522753, 1391.9323306913623, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0029, 2025-09-26 13:30, , 29, 1791.8986595715369, 1600.5448538128662, 1481.5922484218188, 1571.252226534845, 1391.9322703087926, , hi, limit, extracted 2023-11-20, EWMA beyond limit, , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0030, 2025-10-17 14:30, , 30, 1477.3256233861468, 1482.3707316316586, 1483.6320086930366, 1552.7221872168252, 1414.541830169248, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0031, 2025-11-10 14:30, , 31, 1261.8869144113803, 1438.273968187603, 1483.6320086930366, 1572.1106080278832, 1395.15340935819, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0032, 2025-11-16 11:30, , 32, 1566.8887009737039, 1463.9969147448232, 1483.6320086930366, 1582.5444386207914, 1384.7195787652818, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0033, 2025-11-18 15:30, , 33, 1615.5084895093173, 1494.299229697722, 1483.6320086930366, 1588.6796207398856, 1378.5843966461875, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0034, 2025-11-20 10:30, , 34, 1550.1652340816222, 1505.4724305745021, 1483.6320086930366, 1592.4247165293891, 1374.839300856684, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0035, 2025-11-21 13:30, , 35, 1412.457270305457, 1486.8693985206933, 1483.6320086930366, 1594.7553584742739, 1372.5086589117993, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0036, 2025-11-22 16:30, , 36, 1562.2063029188123, 1501.9367794003172, 1483.6320086930366, 1596.2216531683391, 1371.042364217734, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0037, 2025-11-23 16:30, , 37, 1672.2805806895183, 1536.0055396581574, 1483.6320086930366, 1597.1501425572656, 1370.1138748288076, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0038, 2025-12-06 15:30, , 38, 1473.1471005782169, 1523.4338518421694, 1483.6320086930366, 1597.7404109546574, 1369.5236064314158, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0039, 2025-12-16 10:30, , 39, 1446.0487367491749, 1507.9568288235705, 1483.6320086930366, 1598.1165855893892, 1369.147431796684, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0040, 2025-12-20 11:30, , 40, 1164.9046954074079, 1439.3464021403381, 1483.6320086930366, 1598.3566900419798, 1368.9073273440933, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0041, 2025-12-22 13:30, , 41, 1673.8599116965327, 1486.249104051577, 1483.6320086930366, 1598.510093527541, 1368.7539238585323, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0042, 2026-01-04 11:30, , 42, 1522.4990796059221, 1493.4990991624459, 1483.6320086930366, 1598.6081643454363, 1368.6558530406369, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0043, 2026-01-05 12:30, , 43, 1582.4412437231583, 1511.2875280745884, 1483.6320086930366, 1598.6708857927201, 1368.593131593353, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0044, 2026-01-06 15:30, , 44, 1523.277990122315, 1513.6856204841338, 1483.6320086930366, 1598.7110095786754, 1368.5530078073978, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0045, 2026-01-13 11:30, , 45, 1585.3401327829745, 1528.0165229439021, 1483.6320086930366, 1598.7366814615414, 1368.5273359245318, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0046, 2026-01-16 12:30, , 46, 1513.240418417359, 1525.0613020385936, 1483.6320086930366, 1598.7531084621992, 1368.510908923874, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0047, 2026-02-10 14:30, , 47, 1340.2003775468659, 1488.0891171402482, 1483.6320086930366, 1598.76362051259, 1368.5003968734832, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0048, 2026-02-16 13:30, , 48, 1317.6611308982979, 1454.003519891858, 1483.6320086930366, 1598.7703477211671, 1368.493669664906, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0049, 2026-02-23 13:30, , 49, 1411.3002400565524, 1445.4628639247971, 1483.6320086930366, 1598.7746529283904, 1368.4893644576828, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0050, 2026-03-13 16:30, , 50, 1584.2150738057035, 1473.2133059009784, 1483.6320086930366, 1598.777408176537, 1368.4866092095363, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0051, 2026-03-16 12:30, , 51, 1433.55521003322, 1465.2816867274269, 1483.6320086930366, 1598.779171500752, 1368.4848458853212, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0052, 2026-03-16 16:30, , 52, 1403.091577137958, 1452.843664809533, 1483.6320086930366, 1598.7803000140786, 1368.4837173719945, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0053, 2026-03-29 13:30, , 53, 1451.7345836660934, 1452.6218485808452, 1483.6320086930366, 1598.7810222568032, 1368.48299512927, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0054, 2026-04-09 11:30, , 54, 1488.6319933920147, 1459.823877543079, 1483.6320086930366, 1598.7814844897698, 1368.4825328963034, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0055, 2026-04-18 16:30, , 55, 1777.542100699171, 1523.3675221742976, 1483.6320086930366, 1598.7817803178946, 1368.4822370681786, , , , extracted 2025-09-29, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
