experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC2_HIST_0001, 2025-01-14 11:30, , 1, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0002, 2025-01-22 14:30, , 2, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0003, 2025-01-24 14:30, , 3, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0004, 2025-02-10 12:30, , 4, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0005, 2025-02-12 13:30, , 5, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0006, 2025-02-14 10:30, , 6, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0007, 2025-03-10 10:30, , 7, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0008, 2025-03-16 12:30, , 8, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0009, 2025-04-17 15:30, , 9, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0010, 2025-05-02 14:30, , 10, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0011, 2025-05-11 15:30, , 11, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0012, 2025-05-14 13:30, , 12, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0013, 2025-06-13 13:30, , 13, 0.03571428571428571, 0.03571428571428571, 0.0017857142857142857, 0.025722184958724616, 0, , hi, limit, , above p limit, , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0014, 2025-06-15 11:30, , 14, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0015, 2025-06-16 15:30, , 15, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0016, 2025-06-24 17:30, , 16, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0017, 2025-06-26 12:30, , 17, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0018, 2025-07-28 14:30, , 18, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0020, 2025-08-14 14:30, , 19, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0019, 2025-08-14 16:30, , 20, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0021, 2025-08-16 15:30, , 21, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0022, 2025-08-18 14:30, , 22, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0023, 2025-08-26 11:30, , 23, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0024, 2025-08-27 17:30, , 24, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0025, 2025-08-27 17:30, , 25, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0026, 2025-08-29 16:30, , 26, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0028, 2025-09-06 12:30, , 27, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0027, 2025-09-06 16:30, , 28, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0029, 2025-09-26 13:30, , 29, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0030, 2025-10-17 14:30, , 30, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0031, 2025-11-10 14:30, , 31, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0032, 2025-11-16 11:30, , 32, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0033, 2025-11-18 15:30, , 33, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0034, 2025-11-20 10:30, , 34, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0035, 2025-11-21 13:30, , 35, 0.03571428571428571, 0.03571428571428571, 0.0017857142857142857, 0.025722184958724616, 0, , hi, limit, , above p limit, , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0036, 2025-11-22 16:30, , 36, 0, 0, 0.0017857142857142857, 0.025722184958724616, 0, , , , , , , B-O7, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
