experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC2_HIST_0001, 2025-01-14 11:30, , 1, 0, 0, 0, 0, 0, , , , , , , B-O9, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0002, 2025-01-22 14:30, , 2, 0, 0, 0, 0, 0, , , , , , , B-O9, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0003, 2025-01-24 14:30, , 3, 0, 0, 0, 0, 0, , , , , , , B-O9, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0004, 2025-02-10 12:30, , 4, 0, 0, 0, 0, 0, , , , , , , B-O9, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0005, 2025-02-12 13:30, , 5, 0, 0, 0, 0, 0, , , , , , , B-O9, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0006, 2025-02-14 10:30, , 6, 0, 0, 0, 0, 0, , , , , , , B-O9, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0007, 2025-03-10 10:30, , 7, 0, 0, 0, 0, 0, , , , , , , B-O9, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0009, 2025-04-17 15:30, , 8, 0, 0, 0, 0, 0, , , , , , , B-O9, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0010, 2025-05-02 14:30, , 9, 0, 0, 0, 0, 0, , , , , , , B-O9, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0011, 2025-05-11 15:30, , 10, 0, 0, 0, 0, 0, , , , , , , B-O9, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0012, 2025-05-14 13:30, , 11, 0, 0, 0, 0, 0, , , , , , , B-O9, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0014, 2025-06-15 11:30, , 12, 0, 0, 0, 0, 0, , , , , , , B-O9, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0015, 2025-06-16 15:30, , 13, 0, 0, 0, 0, 0, , , , , , , B-O9, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0016, 2025-06-24 17:30, , 14, 0, 0, 0, 0, 0, , , , , , , B-O9, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
