experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC2_HIST_0001, 2025-01-14 11:30, , 1, 0.0023442319555829734, 0.0023442319555829734, 0.0022474400733958513, 0.003825415481467099, 0.0006694646653246038, , , , , , , B-S10, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0002, 2025-01-22 14:30, , 2, 0.001974090067859346, 0.001974090067859346, 0.0022474400733958513, 0.003825415481467099, 0.0006694646653246038, , , , , , , B-S10, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0003, 2025-01-24 14:30, , 3, 0.0017273288093769279, 0.0017273288093769279, 0.0022474400733958513, 0.003825415481467099, 0.0006694646653246038, , , , , , , B-S10, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0004, 2025-02-10 12:30, , 4, 0.002339325289337602, 0.002339325289337602, 0.0022474400733958513, 0.0038237632016300802, 0.0006711169451616224, , , , , , , B-S10, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0005, 2025-02-12 13:30, , 5, 0.0029553010712966383, 0.0029553010712966383, 0.0022474400733958513, 0.0038238602509223524, 0.0006710198958693504, , , , , , , B-S10, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0006, 2025-02-14 10:30, , 6, 0.0019702007141977587, 0.0019702007141977587, 0.0022474400733958513, 0.0038238602509223524, 0.0006710198958693504, , , , , , , B-S10, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0007, 2025-03-10 10:30, , 7, 0.002216475803472479, 0.002216475803472479, 0.0022474400733958513, 0.0038238602509223524, 0.0006710198958693504, , , , , , , B-S10, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0008, 2025-03-16 12:30, , 8, 0.002208317997791682, 0.002208317997791682, 0.0022474400733958513, 0.00382095654579086, 0.0006739236010008427, , , , , , , B-S10, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0009, 2025-04-17 15:30, , 9, 0.0020930805220389067, 0.0020930805220389067, 0.0022474400733958513, 0.0038237632016300802, 0.0006711169451616224, , , , , , , B-S10, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0010, 2025-05-02 14:30, , 10, 0.001847063169560399, 0.001847063169560399, 0.0022474400733958513, 0.0038238602509223524, 0.0006710198958693504, , , , , , , B-S10, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0011, 2025-05-11 15:30, , 11, 0.0018468357547402117, 0.0018468357547402117, 0.0022474400733958513, 0.0038237632016300802, 0.0006711169451616224, , , , , , , B-S10, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0012, 2025-05-14 13:30, , 12, 0.0029553010712966383, 0.0029553010712966383, 0.0022474400733958513, 0.0038238602509223524, 0.0006710198958693504, , , , , , , B-S10, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0013, 2025-06-13 13:30, , 13, 0.002583661417322835, 0.002583661417322835, 0.0022474400733958513, 0.0038231812820403613, 0.0006716988647513414, , , , , , , B-S10, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0014, 2025-06-15 11:30, , 14, 0.001850709438618137, 0.001850709438618137, 0.0022474400733958513, 0.003825415481467099, 0.0006694646653246038, , , , , , , B-S10, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0015, 2025-06-16 15:30, , 15, 0.0014776505356483192, 0.0014776505356483192, 0.0022474400733958513, 0.0038238602509223524, 0.0006710198958693504, , , , , , , B-S10, p, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
