experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC2_HIST_0001, 2025-01-14 11:30, , 1, 41.09963316411545, 41.09963316411545, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0002, 2025-01-22 14:30, , 2, 33.559564579593484, 33.559564579593484, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0003, 2025-01-24 14:30, , 3, 48.2872332440185, 48.2872332440185, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0004, 2025-02-10 12:30, , 4, 42.20667712845296, 42.20667712845296, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0005, 2025-02-12 13:30, , 5, 59.605323291107666, 59.605323291107666, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0006, 2025-02-14 10:30, , 6, 29.55663609142589, 29.55663609142589, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0007, 2025-03-10 10:30, , 7, 23.218107251213343, 23.218107251213343, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0008, 2025-03-16 12:30, , 8, 17.114450420915205, 17.114450420915205, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0009, 2025-04-17 15:30, , 9, 18.260583246749963, 18.260583246749963, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0010, 2025-05-02 14:30, , 10, 47.49811709640888, 47.49811709640888, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0011, 2025-05-11 15:30, , 11, 57.20403555458747, 57.20403555458747, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0012, 2025-05-14 13:30, , 12, 35.50157648383632, 35.50157648383632, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0013, 2025-06-13 13:30, , 13, 26.90091757525878, 26.90091757525878, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0014, 2025-06-15 11:30, , 14, 15.769841443944294, 15.769841443944294, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0015, 2025-06-16 15:30, , 15, 50.03838159929502, 50.03838159929502, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0016, 2025-06-24 17:30, , 16, 24.81847636354041, 24.81847636354041, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0017, 2025-06-26 12:30, , 17, 32.96309678926758, 32.96309678926758, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0018, 2025-07-28 14:30, , 18, 41.90612902501544, 41.90612902501544, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0020, 2025-08-14 14:30, , 19, 37.57983483943352, 37.57983483943352, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0019, 2025-08-14 16:30, , 20, 27.67209807205489, 27.67209807205489, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0021, 2025-08-16 15:30, , 21, 33.37243812264354, 33.37243812264354, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0022, 2025-08-18 14:30, , 22, 27.032836818442362, 27.032836818442362, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0023, 2025-08-26 11:30, , 23, 14.835576201797734, 14.835576201797734, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0024, 2025-08-27 17:30, , 24, 30.86728818559117, 30.86728818559117, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0025, 2025-08-27 17:30, , 25, 34.98495405641899, 34.98495405641899, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0026, 2025-08-29 16:30, , 26, 34.07554495080576, 34.07554495080576, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0028, 2025-09-06 12:30, , 27, 31.001971337861825, 31.001971337861825, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0027, 2025-09-06 16:30, , 28, 21.683034871094904, 21.683034871094904, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0029, 2025-09-26 13:30, , 29, 22.333912233091425, 22.333912233091425, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0030, 2025-10-17 14:30, , 30, 29.70350395337698, 29.70350395337698, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0031, 2025-11-10 14:30, , 31, 26.70948831478345, 26.70948831478345, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0032, 2025-11-16 11:30, , 32, 19.499988962277637, 19.499988962277637, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0033, 2025-11-18 15:30, , 33, 25.77576929189879, 25.77576929189879, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0034, 2025-11-20 10:30, , 34, 32.74197823523055, 32.74197823523055, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0035, 2025-11-21 13:30, , 35, 14.4096305827643, 14.4096305827643, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0036, 2025-11-22 16:30, , 36, 70.70202595540323, 70.70202595540323, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0037, 2025-11-23 16:30, , 37, 36.46702459185668, 36.46702459185668, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0038, 2025-12-06 15:30, , 38, 79.61679653851189, 79.61679653851189, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , hi, limit, , beyond 3σ, , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0039, 2025-12-16 10:30, , 39, 25.069701422321554, 25.069701422321554, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0040, 2025-12-20 11:30, , 40, 35.96657307526029, 35.96657307526029, 35.53803566301174, 72.01224068081915, -0.9361693547956662, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
