experiment, date, instrument, operator, firmware, software, block_cycles, run_minutes, edit_delay, bg_median.465-510, bg_median.533-580, plateau_median.465-510, plateau_median.533-580, heat_rate, cool_rate, overshoot, settling, transition.95→60 °C, transition.60→72 °C, transition.72→95 °C, transition.72→40 °C, hold_temp.mean, hold_temp.sd, hold_temp.n, lamp_ref.465-510, lamp_ref.533-580, lamp_drift.465-510, lamp_drift.533-580, exposure.465-510, exposure.533-580, chan_switch, cycle_sd, invalid_acq.bad, invalid_acq.n, templog_late.bad, templog_late.n, action_rate.bad, action_rate.n, late_rate.bad, late_rate.n, call_disagree.bad, call_disagree.n, rep_sd, rowcol, manual_rate.bad, manual_rate.n, copied.count, findings.count, pc_cq.35S | DEMO-CRM, pc_cq.T-NOS | DEMO-CRM, pc_cq.HMG | DEMO-CRM, pc_batch.35S | DEMO-CRM, pc_batch.T-NOS | DEMO-CRM, pc_batch.HMG | DEMO-CRM, pc_amplitude.35S | DEMO-CRM, pc_amplitude.T-NOS | DEMO-CRM, pc_amplitude.HMG | DEMO-CRM, ntc_rate.bad, ntc_rate.n
DEMO_LC2_HIST_0001, 2025-01-14 11:30, LC · LC-DEMO-02, operator-538c64e4, HTC_VER_10, LCS480 1.5.1.62, , 69.5254014142942, 1.3112114067074827, 1318.9212357158578, 829.8868025882973, 1975.383915408416, 1463.750923299423, 4.72074, 2.39976, 5.32, 4.54, 15.214016238034286, 2.4423733900238296, 4.825531843238426, 16.20056025662505, -0.43063107422242597, 0.03259997112973102, 45, 6879, 11952, -1.9112265126348158, -1.4106657923417318, 255, 309, 1043, 41.09963316411545, 0, 135, 19, 8105, 2, 12, 0, 8, 0, 4, 0.10819248734457092, 0.46508778525184175, 0, 28, 1, 111, 32.53752249778804, 30.619758613528028, 23.093781117259617, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 1237.199262797245, 1378.580317025369, 1493.4183468124816, 0, 6
DEMO_LC2_HIST_0002, 2025-01-22 14:30, LC · LC-DEMO-02, operator-538c64e4, HTC_VER_10, LCS480 1.5.1.62, , 68.93671201204594, 0.9039158673762973, 1640.5838868020649, 1714.6633089983443, 1962.7908271728925, 2206.593966065701, 4.76316, 2.47248, 5.41, 4.95, 15.250624343514197, 2.4517777246892507, 4.850701540228234, 16.308805844705542, -0.4267934941415936, 0.025660002563474234, 45, 6824, 11919, -1.8096918650770124, -1.3630489626874296, 287, 259, 1043, 33.559564579593484, 0, 135, 16, 8105, 0, 12, 0, 8, 0, 4, 0.19460696600820404, 0.4550897632782202, 0, 28, 0, 119, 32.937504869464746, 30.65096364666373, 22.82241086863981, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 1615.7871114037885, 1583.9102749405674, 1561.9491084291585, 0, 6
DEMO_LC2_HIST_0003, 2025-01-24 14:30, LC · LC-DEMO-02, operator-538c64e4, HTC_VER_10, LCS480 1.5.1.62, , 69.58507926476936, -0.5745746184990309, 1853.8738415117919, 1904.597526595051, 2230.643281525051, 2114.1881418579305, 4.77528, 2.4058200000000003, 5.34, 4.54, 15.249670686818881, 2.4376716257699558, 4.877223247433218, 16.099324977387404, -0.4244930237617073, 0.02730511921176857, 45, 6850, 11937, -1.5285180727938397, -1.4970244142621123, 253, 297, 1047, 48.2872332440185, 0, 135, 14, 8105, 0, 12, 0, 8, 0, 4, 0.09854865922809908, 0.45930016400006296, 0, 28, 1, 102, 32.829998120500164, 31.172781173384795, 23.502684563472805, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 1472.882174209695, 1289.7008284405856, 1479.1460494010005, 1, 6
DEMO_LC2_HIST_0004, 2025-02-10 12:30, LC · LC-DEMO-02, operator-538c64e4, HTC_VER_10, LCS480 1.5.1.62, , 67.70688365821665, -0.3956855063676538, 1798.0706399208461, 1488.158610559612, 2480.3600219098807, 1493.2722508777535, 4.77528, 2.41794, 5.3500000000000005, 4.54, 15.26254714104316, 2.4364422526415703, 4.843007773953153, 16.43611861351281, -0.42534353638184985, 0.02188606653833304, 45, 6825, 11845, -1.7316209739003423, -1.5590753079298656, 207, 273, 1033, 42.20667712845296, 0, 135, 19, 8122, 0, 12, 0, 8, 0, 4, 0.3532228381257632, 0.022674499999985505, 0, 28, 1, 100, 33.21518767875914, 31.20685240428205, 22.884450542110994, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 1684.3563253083287, 1653.9633384698523, 1568.6051196063177, 0, 6
DEMO_LC2_HIST_0005, 2025-02-12 13:30, LC · LC-DEMO-02, operator-81023fd5, HTC_VER_10, LCS480 1.5.1.62, , 69.51172812435564, -0.8478817367488547, 1752.4453707372897, 1765.6673567063424, 2209.3175369722067, 1219.4416702306103, 4.77528, 2.3937, 5.36, 4.54, 15.30219827835269, 2.438836927259704, 4.827099419508843, 15.80902256337534, -0.42465071623688666, 0.030883627261682936, 45, 6862, 11906, -1.7193820797172708, -0.8631812411075397, 258, 271, 1035, 59.605323291107666, 1, 135, 24, 8121, 0, 12, 1, 8, 0, 4, 0.31550276830231516, 0.18204706728247233, 0, 28, 0, 130, 33.085112003835405, 31.390493460381443, 23.095341845243414, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 1513.24318570479, 1331.002626909431, 1378.9649817399145, 0, 6
DEMO_LC2_HIST_0006, 2025-02-14 10:30, LC · LC-DEMO-02, operator-81023fd5, HTC_VER_10, LCS480 1.5.1.62, , 72.81323962750754, 0.22622885028578493, 1669.3903823514167, 1638.9834235441913, 2648.4507470206986, 1462.0624681029537, 4.76316, 2.4058200000000003, 5.4, 4.54, 15.263933259528168, 2.4502369017919268, 4.828883087610437, 16.22545423661533, -0.4261608255368196, 0.03432406291241117, 45, 6840, 11899, -2.1639165034762398, -1.756286794734415, 299, 285, 1038, 29.55663609142589, 0, 135, 16, 8121, 0, 12, 0, 8, 0, 6, 0.35987638303471303, 0.2112124076856442, 0, 28, 1, 111, 33.06188876145191, 31.004838742829143, 23.13926702015617, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 1755.2284391285937, 1604.8726737331829, 1497.1192713959013, 0, 6
DEMO_LC2_HIST_0007, 2025-03-10 10:30, LC · LC-DEMO-02, operator-538c64e4, HTC_VER_10, LCS480 1.5.1.62, , 69.38722310199103, -0.960808807490012, 1746.6218533862536, 2070.841689338727, 2220.297762626451, 2149.080419308542, 4.7874, 2.4058200000000003, 5.3500000000000005, 4.54, 15.247947128926523, 2.454712146674649, 4.8704944371053465, 16.248487805943483, -0.4371121006586634, 0.03478681837876701, 45, 6866, 11931, -1.2096360024446056, -1.1632416136488457, 239, 268, 1047, 23.218107251213343, 0, 135, 18, 8121, 0, 12, 0, 8, 0, 4, 0.48347778866962604, 0.18535479852401196, 0, 28, 0, 116, 32.7804992399622, 32.05769979325958, 23.04310661236333, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 1491.7888392747527, 1331.3812548851952, 1478.428049850362, 0, 6
DEMO_LC2_HIST_0008, 2025-03-16 12:30, LC · LC-DEMO-02, operator-96fc0cae, HTC_VER_10, LCS480 1.5.1.62, , 68.66797599370362, -1.230784363208679, 1776.7683426264296, 1422.7808538966683, 2506.2868929034744, 1590.670590914385, 4.76316, 2.35734, 5.3500000000000005, 4.54, 15.247407339188008, 2.446189066446725, 4.88589139052742, 16.073164678092816, -0.43372536524699745, 0.03273575044547852, 45, 6898, 11959, -1.9079876153043267, -1.6414155898026324, 280, 264, 1047, 17.114450420915205, 0, 135, 18, 8151, 1, 12, 0, 8, , , 0.23832134783036915, 0.5252326787911668, 0, 28, 1, 126, 33.015740364912, 32.11072645560542, 23.361211144802507, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 1666.8933006326317, 1583.7574331555868, 1305.9289374395717, 0, 6
DEMO_LC2_HIST_0009, 2025-04-17 15:30, LC · LC-DEMO-02, operator-96fc0cae, HTC_VER_10, LCS480 1.5.1.62, , 69.5781464880862, -0.19313559534486358, 1654.9697856188159, 1851.6200896583985, 2829.8613038414524, 2060.4151327882696, 4.77528, 2.44218, 5.46, 4.54, 15.310943763196386, 2.450450872508015, 4.867813113690224, 16.203632187578286, -0.43345773206940175, 0.023555730801911652, 45, 6897, 11882, -1.5980230490287484, -0.9094376411358871, 296, 287, 1028, 18.260583246749963, 0, 135, 17, 8122, 0, 12, 0, 8, 0, 2, 0.3011633818674801, 0.46873567285969037, 0, 28, 1, 121, 33.265975557009035, 31.193941559663113, 23.27770205945835, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 1629.516193167612, 1461.1484646679737, 1414.9815763957229, 0, 6
DEMO_LC2_HIST_0010, 2025-05-02 14:30, LC · LC-DEMO-02, operator-538c64e4, HTC_VER_10, LCS480 1.5.1.62, , 69.17879455118197, -0.15919367760537934, 1499.5732186347714, 1958.6801430929868, 2174.0757399949407, 695.1199200292085, 4.76922, 2.3755200000000003, 5.39, 4.54, 15.314564076857573, 2.433612373739275, 4.93489602503883, 16.660193263254207, -0.4332757005066165, 0.03314692310159026, 45, 6841, 11476, -1.991779860674629, -1.0710295162561554, 255, 302, 1047, 47.49811709640888, 2, 135, 15, 8121, 0, 12, 0, 8, 0, 4, 0.2112209541499866, 0.18687979024684345, 0, 28, 0, 122, 33.47702383245852, 30.689812595791057, 23.20648671839652, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 1408.652747406507, 1473.1908129346896, 1602.112828347133, 0, 6
