code, chart, group, variant, runs, status, detail, latest, unit, alarms, chart_type, file
B-H10b, LED junction temperature (maximum), hardware, , 90, alarm, "sustained shift since 2025-07-14 (78.13 → 80.79 °C,  32 runs) — find the cause; if the new level is accepted,  start a new baseline on that date", 81.42494896738046, °C, 72, i, B-H10b_led_junction.svg
B-H14, Filter-wheel move time, hardware, , 90, alarm, "sustained shift since 2025-09-05 (299.9 → 313.9 ms,  24 runs) — find the cause; if the new level is accepted,  start a new baseline on that date", 312.6154517617877, ms, 24, i, B-H14_wheel_ms.svg
B-H5, Block zone uniformity (95th percentile), hardware, , 90, alarm, outside the limits: EWMA beyond limit, 0.4315520605732934, °C, 39, ewma, B-H5_zone_spread.svg
B-M9, Low Cq confidence, method, , 90, alarm, outside the limits: above p limit, 0.015151515151515152, share of wells, 10, p, B-M9_low_conf.svg
B-S9, Cycle-timing regularity, software, , 90, alarm, outside the limits: beyond 3σ, 143.7233406690797, ms, 5, i, B-S9_cycle_sd.svg
B-H10, LED drive current, hardware, , 90, watch, signal in the last 5 runs, 0.6030068247108993, current (as logged), 12, trend, B-H10_led_current.svg
B-H13b, Background calibration: mean offset, hardware, , 90, watch, signal in the last 5 runs, 2598.8226283961108, counts, 5, i, B-H13b_calib_background.svg
B-H13c, Well-position (ROI) calibration: spot diameter, hardware, , 90, watch, pattern inside the limits: 8 on one side, 35.28761283602996, pixels, 2, i, B-H13c_calib_roi.svg
B-O2, Dispensed-volume spread (ROX CV), operator, , 90, watch, signal in the last 5 runs, 6.76467750317049, % CV, 25, i, B-O2_rox_cv.svg
B-S1, Reply time to the PC software, software, , 90, watch, signal in the last 5 runs, 20.806553723569763, ms (95th pct), 4, i, B-S1_cmd_rt.svg
B-S8, Command errors in the instrument log, software, , 90, watch, signal in the last 5 runs, 0, errors, 9, c, B-S8_log_errors.svg
A-H3, Background fluorescence per channel, hardware, x1-m1, 90, in control, in control, 0.9978948649021481, fluorescence, 0, i, A-H3_bg_median_x1-m1.svg
A-H3, Background fluorescence per channel, hardware, x2-m2, 90, in control, in control, 0.9985954233261082, fluorescence, 2, i, A-H3_bg_median_x2-m2.svg
A-H3b, End-point fluorescence per channel, hardware, x1-m1, 90, in control, in control, 5.403225945922953, fluorescence, 0, i, A-H3b_plateau_median_x1-m1.svg
A-H3b, End-point fluorescence per channel, hardware, x2-m2, 90, in control, in control, 2.382211567123641, fluorescence, 0, i, A-H3b_plateau_median_x2-m2.svg
A-H4, Run duration, hardware, , 90, in control, in control, 90.23139173428011, minutes, 0, i, A-H4_run_minutes.svg
A-S4, Run end → last change, software, , 90, in control, in control, 3.3593852358423026, log10 hours, 0, i, A-S4_edit_delay.svg
A-S6, Forensic findings per run, software, , 90, in control, in control, 1, findings, 0, c, A-S6_findings.svg
B-H1, Peak heating rate (2-s window), hardware, , 90, in control, in control, 2.824802991387284, °C/s, 0, trend, B-H1_heat_rate.svg
B-H11, Automatic integration time / exposure, hardware, x5-m5, 90, in control, in control, 652.3541037204452, ms, 3, i, B-H11_exposure_x5-m5.svg
B-H11, Automatic integration time / exposure, hardware, x3-m3, 90, in control, in control, 298.9810885410858, ms, 5, i, B-H11_exposure_x3-m3.svg
B-H11, Automatic integration time / exposure, hardware, x2-m3, 90, in control, in control, 301.53636298693954, ms, 0, i, B-H11_exposure_x2-m3.svg
B-H11, Automatic integration time / exposure, hardware, x3-m4, 90, in control, in control, 395.1823869757183, ms, 2, i, B-H11_exposure_x3-m4.svg
B-H11, Automatic integration time / exposure, hardware, x4-m4, 90, in control, in control, 404.78663803509704, ms, 4, i, B-H11_exposure_x4-m4.svg
B-H11, Automatic integration time / exposure, hardware, x2-m2, 90, in control, in control, 303.47064509127244, ms, 1, i, B-H11_exposure_x2-m2.svg
B-H11, Automatic integration time / exposure, hardware, x1-m2, 90, in control, in control, 302.1703829171932, ms, 0, i, B-H11_exposure_x1-m2.svg
B-H11, Automatic integration time / exposure, hardware, x1-m1, 90, in control, in control, 450.66156348803617, ms, 0, i, B-H11_exposure_x1-m1.svg
