experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 0.9942528479453926, 0.9942528479453926, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 1.0086942381269353, 1.0086942381269353, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 0.9978528640208197, 0.9978528640208197, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 1.0027148747142325, 1.0027148747142325, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 1.00699917472205, 1.00699917472205, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 1.0056844878015305, 1.0056844878015305, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 0.9824167484119477, 0.9824167484119477, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 0.9888694062420262, 0.9888694062420262, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 0.9923356915470726, 0.9923356915470726, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 1.0086957942760988, 1.0086957942760988, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 1.0151655713460113, 1.0151655713460113, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 12, 0.9875495165618182, 0.9875495165618182, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 13, 0.9910925283768315, 0.9910925283768315, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 14, 0.9902538138682636, 0.9902538138682636, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0015, 2024-07-30 11:30, , 15, 0.9997162863731844, 0.9997162863731844, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0016, 2024-08-01 13:30, , 16, 1.0051765421815275, 1.0051765421815275, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0017, 2024-08-03 16:30, , 17, 1.0108498893661935, 1.0108498893661935, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0018, 2024-08-04 14:30, , 18, 1.0071134380166762, 1.0071134380166762, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0019, 2024-08-08 16:30, , 19, 1.0108508758663743, 1.0108508758663743, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0020, 2024-08-16 11:30, , 20, 1.0276549535430488, 1.0276549535430488, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , hi, limit, , beyond 3σ, , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0021, 2024-08-19 15:30, , 21, 1.0212313508700839, 1.0212313508700839, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0022, 2024-08-25 12:30, , 22, 0.9987882484683298, 0.9987882484683298, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0023, 2024-08-31 17:30, , 23, 0.9966010675039074, 0.9966010675039074, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0024, 2024-09-10 14:30, , 24, 1.0111561743011062, 1.0111561743011062, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0025, 2024-09-20 16:30, , 25, 1.0074491159765133, 1.0074491159765133, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0026, 2024-10-08 13:30, , 26, 1.0191994125201929, 1.0191994125201929, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0027, 2024-10-17 11:30, , 27, 1.0116500446269594, 1.0116500446269594, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0028, 2024-10-27 10:30, , 28, 0.9865678944064222, 0.9865678944064222, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0029, 2024-10-30 13:30, , 29, 1.0047687322322192, 1.0047687322322192, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0030, 2024-11-20 14:30, , 30, 0.9999286703712176, 0.9999286703712176, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0031, 2024-11-27 12:30, , 31, 0.996305553391113, 0.996305553391113, 1.0016969771654018, 1.0253017010896246, 0.978092253241179, , , , , , , A-H3, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
