experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 5.242095215463502, 5.242095215463502, 5.329974946183019, 5.6145499459678865, 5.045399946398152, , , , , , , A-H3b, i, x1-m1, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 5.470421956604224, 5.470421956604224, 5.329974946183019, 5.6145499459678865, 5.045399946398152, , , , , , , A-H3b, i, x1-m1, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 5.384283203831596, 5.384283203831596, 5.329974946183019, 5.6145499459678865, 5.045399946398152, , , , , , , A-H3b, i, x1-m1, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 5.29064116875562, 5.29064116875562, 5.329974946183019, 5.6145499459678865, 5.045399946398152, , , , , , , A-H3b, i, x1-m1, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 5.312038557050444, 5.312038557050444, 5.329974946183019, 5.6145499459678865, 5.045399946398152, , , , , , , A-H3b, i, x1-m1, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 5.458510401167363, 5.458510401167363, 5.329974946183019, 5.6145499459678865, 5.045399946398152, , , , , , , A-H3b, i, x1-m1, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 5.31946442303444, 5.31946442303444, 5.329974946183019, 5.6145499459678865, 5.045399946398152, , , , , , , A-H3b, i, x1-m1, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 5.321719883495303, 5.321719883495303, 5.329974946183019, 5.6145499459678865, 5.045399946398152, , , , , , , A-H3b, i, x1-m1, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 5.373361786704954, 5.373361786704954, 5.329974946183019, 5.6145499459678865, 5.045399946398152, , , , , , , A-H3b, i, x1-m1, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 5.231535016210829, 5.231535016210829, 5.329974946183019, 5.6145499459678865, 5.045399946398152, , , , , , , A-H3b, i, x1-m1, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
