experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 90.31650661303479, 90.31650661303479, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 90.9111718560019, 90.9111718560019, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 88.73208971654905, 88.73208971654905, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 90.49855069082527, 90.49855069082527, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 91.12909737814425, 91.12909737814425, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 89.79368593436547, 89.79368593436547, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 91.10267845520056, 91.10267845520056, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 92.79794878298247, 92.79794878298247, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 89.01791759079786, 89.01791759079786, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 90.59768546768089, 90.59768546768089, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 89.77123075368736, 89.77123075368736, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 12, 90.5496878041555, 90.5496878041555, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 13, 89.54885305217087, 89.54885305217087, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 14, 90.25750814017218, 90.25750814017218, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0015, 2024-07-30 11:30, , 15, 89.49380752577326, 89.49380752577326, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0016, 2024-08-01 13:30, , 16, 89.51958918280674, 89.51958918280674, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0017, 2024-08-03 16:30, , 17, 88.4716494404671, 88.4716494404671, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0018, 2024-08-04 14:30, , 18, 90.60814511492309, 90.60814511492309, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0019, 2024-08-08 16:30, , 19, 90.84062592362845, 90.84062592362845, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0020, 2024-08-16 11:30, , 20, 89.8632397353057, 89.8632397353057, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0021, 2024-08-19 15:30, , 21, 88.69517042190762, 88.69517042190762, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0022, 2024-08-25 12:30, , 22, 88.52858361953287, 88.52858361953287, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0023, 2024-08-31 17:30, , 23, 90.23777363348997, 90.23777363348997, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0024, 2024-09-10 14:30, , 24, 90.53512600829237, 90.53512600829237, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0025, 2024-09-20 16:30, , 25, 89.09054060399505, 89.09054060399505, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0026, 2024-10-08 13:30, , 26, 91.701984326493, 91.701984326493, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0027, 2024-10-17 11:30, , 27, 90.44215604467982, 90.44215604467982, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0028, 2024-10-27 10:30, , 28, 90.27212729138378, 90.27212729138378, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0029, 2024-10-30 13:30, , 29, 89.96614220806008, 89.96614220806008, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0030, 2024-11-20 14:30, , 30, 92.32932156366253, 92.32932156366253, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0031, 2024-11-27 12:30, , 31, 92.48658385750362, 92.48658385750362, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0032, 2024-11-30 13:30, , 32, 89.97088807473885, 89.97088807473885, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0033, 2024-12-01 14:30, , 33, 90.59155073549408, 90.59155073549408, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0034, 2024-12-08 12:30, , 34, 91.6582308102654, 91.6582308102654, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0035, 2024-12-15 13:30, , 35, 88.88511121294263, 88.88511121294263, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0036, 2024-12-25 14:30, , 36, 90.39183056874379, 90.39183056874379, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0037, 2024-12-28 15:30, , 37, 90.11632734521517, 90.11632734521517, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0038, 2024-12-30 15:30, , 38, 89.5693248394318, 89.5693248394318, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0039, 2024-12-30 15:30, , 39, 91.14091619649075, 91.14091619649075, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0040, 2025-01-13 13:30, , 40, 90.21298266578302, 90.21298266578302, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0041, 2025-01-20 10:30, , 41, 91.41426383096393, 91.41426383096393, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0043, 2025-01-20 10:30, , 42, 90.11789661358786, 90.11789661358786, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0042, 2025-01-20 11:30, , 43, 90.80179449402817, 90.80179449402817, 90.19108345793366, 93.462138146509, 86.92002876935831, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
