experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 3.183398069135256, 3.183398069135256, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 3.5159430361983115, 3.5159430361983115, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 3.598156623404857, 3.598156623404857, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 3.380761581486884, 3.380761581486884, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 3.1848798182204683, 3.1848798182204683, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 3.481349679160736, 3.481349679160736, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 3.474688685585711, 3.474688685585711, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 2.9396954488301277, 2.9396954488301277, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 2.662338095116544, 2.662338095116544, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 3.545919135749117, 3.545919135749117, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 3.4154732795376304, 3.4154732795376304, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 12, 2.6474729153621155, 2.6474729153621155, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 13, 3.052740856067412, 3.052740856067412, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 14, 3.4674186262352045, 3.4674186262352045, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0015, 2024-07-30 11:30, , 15, 2.6242618200906844, 2.6242618200906844, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0016, 2024-08-01 13:30, , 16, 3.146344753887106, 3.146344753887106, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0017, 2024-08-03 16:30, , 17, 3.5058534621094775, 3.5058534621094775, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0018, 2024-08-04 14:30, , 18, 2.623519773160151, 2.623519773160151, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0019, 2024-08-08 16:30, , 19, 3.3613968598980617, 3.3613968598980617, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0020, 2024-08-16 11:30, , 20, 3.3568896389851397, 3.3568896389851397, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0021, 2024-08-19 15:30, , 21, 3.546590438162307, 3.546590438162307, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0022, 2024-08-25 12:30, , 22, 3.505499013711604, 3.505499013711604, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0023, 2024-08-31 17:30, , 23, 3.6477588534101213, 3.6477588534101213, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0024, 2024-09-10 14:30, , 24, 2.933630869225342, 2.933630869225342, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0025, 2024-09-20 16:30, , 25, 3.3403144232796027, 3.3403144232796027, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0026, 2024-10-08 13:30, , 26, 3.076679507448668, 3.076679507448668, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0027, 2024-10-17 11:30, , 27, 3.154316923416435, 3.154316923416435, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0028, 2024-10-27 10:30, , 28, 2.922885107458077, 2.922885107458077, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0029, 2024-10-30 13:30, , 29, 3.1010834766335784, 3.1010834766335784, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0030, 2024-11-20 14:30, , 30, 2.9535738669305704, 2.9535738669305704, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0031, 2024-11-27 12:30, , 31, 3.548530966923984, 3.548530966923984, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0032, 2024-11-30 13:30, , 32, 3.217877187007783, 3.217877187007783, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0033, 2024-12-01 14:30, , 33, 3.440048949765198, 3.440048949765198, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0034, 2024-12-08 12:30, , 34, 3.0995215645913765, 3.0995215645913765, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0035, 2024-12-15 13:30, , 35, 3.5401004095805972, 3.5401004095805972, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0036, 2024-12-25 14:30, , 36, 2.9254060021195407, 2.9254060021195407, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0037, 2024-12-28 15:30, , 37, 3.124179434527863, 3.124179434527863, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0038, 2024-12-30 15:30, , 38, 3.543242376039561, 3.543242376039561, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0039, 2024-12-30 15:30, , 39, 3.5190411285204077, 3.5190411285204077, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0040, 2025-01-13 13:30, , 40, 3.578165309334344, 3.578165309334344, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0041, 2025-01-20 10:30, , 41, 3.325199820441069, 3.325199820441069, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0043, 2025-01-20 10:30, , 42, 3.4798054823255598, 3.4798054823255598, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0042, 2025-01-20 11:30, , 43, 2.9357214458282326, 2.9357214458282326, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0044, 2025-02-06 16:30, , 44, 3.3812972231785166, 3.3812972231785166, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0045, 2025-02-12 16:30, , 45, 3.109885267041726, 3.109885267041726, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0046, 2025-02-18 10:30, , 46, 3.109418791881211, 3.109418791881211, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0047, 2025-02-22 16:30, , 47, 3.4859739297045205, 3.4859739297045205, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0048, 2025-02-27 15:30, , 48, 3.530295799539764, 3.530295799539764, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0049, 2025-02-28 12:30, , 49, 3.610049622325745, 3.610049622325745, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0050, 2025-03-01 12:30, , 50, 3.2984510715463893, 3.2984510715463893, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0051, 2025-03-01 15:30, , 51, 3.4514946460813936, 3.4514946460813936, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0052, 2025-03-12 16:30, , 52, 3.5685047458873154, 3.5685047458873154, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0053, 2025-03-20 12:30, , 53, 3.5637151860933356, 3.5637151860933356, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0054, 2025-04-12 14:30, , 54, 3.427037022668363, 3.427037022668363, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0055, 2025-04-29 13:30, , 55, 3.525190124863677, 3.525190124863677, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0056, 2025-04-30 13:30, , 56, 3.137144665334243, 3.137144665334243, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0057, 2025-05-02 11:30, , 57, 3.352087273689395, 3.352087273689395, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0058, 2025-07-02 16:30, , 58, 3.2609633551851425, 3.2609633551851425, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0059, 2025-07-14 12:30, , 59, 3.2216204591304094, 3.2216204591304094, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0060, 2025-08-04 17:30, , 60, 3.5481593530370557, 3.5481593530370557, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0061, 2025-08-05 11:30, , 61, 3.387290626348442, 3.387290626348442, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0062, 2025-08-05 11:30, , 62, 3.4097696389380183, 3.4097696389380183, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0063, 2025-08-09 12:30, , 63, 2.6755558018373558, 2.6755558018373558, 3.20842510791105, 4.313542160135936, 2.1033080556861643, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
