experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 75.4065601609183, 75.4065601609183, 77.10299230245685, 79.00821094483973, 75.19777366007398, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 76.43150962800075, 76.43150962800075, 77.10299230245685, 79.00821094483973, 75.19777366007398, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 75.95729459853675, 75.95729459853675, 77.10299230245685, 79.00821094483973, 75.19777366007398, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 75.41078215974336, 75.41078215974336, 77.10299230245685, 79.00821094483973, 75.19777366007398, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 76.55321050304548, 76.55321050304548, 77.10299230245685, 79.00821094483973, 75.19777366007398, , lo, rule, , 4 of 5 beyond 1σ, , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 76.41515886259916, 76.41515886259916, 77.10299230245685, 79.00821094483973, 75.19777366007398, , lo, rule, , 4 of 5 beyond 1σ, , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 77.08374100856246, 77.08374100856246, 77.10299230245685, 79.00821094483973, 75.19777366007398, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 77.31899707340322, 77.31899707340322, 77.10299230245685, 79.00821094483973, 75.19777366007398, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 77.08985008391073, 77.08985008391073, 77.10299230245685, 79.00821094483973, 75.19777366007398, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 78.24487137544396, 78.24487137544396, 77.10299230245685, 79.00821094483973, 75.19777366007398, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 76.9481379143008, 76.9481379143008, 77.10299230245685, 79.00821094483973, 75.19777366007398, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 12, 78.79515394412414, 78.79515394412414, 77.10299230245685, 79.00821094483973, 75.19777366007398, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 13, 76.9743732250024, 76.9743732250024, 77.10299230245685, 79.00821094483973, 75.19777366007398, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 14, 77.9084111597355, 77.9084111597355, 77.10299230245685, 79.00821094483973, 75.19777366007398, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0015, 2024-07-30 11:30, , 15, 77.19431845937065, 77.19431845937065, 77.10299230245685, 79.00821094483973, 75.19777366007398, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
