experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 302.15682959797294, 302.15682959797294, 299.74481371325874, 309.9836655075763, 289.5059619189412, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 295.50463542677375, 295.50463542677375, 299.74481371325874, 309.9836655075763, 289.5059619189412, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 299.6936826080604, 299.6936826080604, 299.74481371325874, 309.9836655075763, 289.5059619189412, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 300.66109055056165, 300.66109055056165, 299.74481371325874, 309.9836655075763, 289.5059619189412, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 300.46512822882266, 300.46512822882266, 299.74481371325874, 309.9836655075763, 289.5059619189412, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 298.6971244038534, 298.6971244038534, 299.74481371325874, 309.9836655075763, 289.5059619189412, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 293.18122178188815, 293.18122178188815, 299.74481371325874, 309.9836655075763, 289.5059619189412, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 299.9303024689427, 299.9303024689427, 299.74481371325874, 309.9836655075763, 289.5059619189412, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 297.6727261319233, 297.6727261319233, 299.74481371325874, 309.9836655075763, 289.5059619189412, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 302.0261707985585, 302.0261707985585, 299.74481371325874, 309.9836655075763, 289.5059619189412, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 301.1733328508655, 301.1733328508655, 299.74481371325874, 309.9836655075763, 289.5059619189412, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
