experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 1.1282745351539794, 1.1282745351539794, 1.1450818372961522, 1.1815214909201093, 1.1086421836721951, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 1.1603010726864431, 1.1603010726864431, 1.1450818372961522, 1.1815214909201093, 1.1086421836721951, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 1.1348622858157038, 1.1348622858157038, 1.1450818372961522, 1.1815214909201093, 1.1086421836721951, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 1.1432096224557682, 1.1432096224557682, 1.1450818372961522, 1.1815214909201093, 1.1086421836721951, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 1.137968153697734, 1.137968153697734, 1.1450818372961522, 1.1815214909201093, 1.1086421836721951, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 1.1342914687904424, 1.1342914687904424, 1.1450818372961522, 1.1815214909201093, 1.1086421836721951, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 1.1669683420112713, 1.1669683420112713, 1.1450818372961522, 1.1815214909201093, 1.1086421836721951, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 1.1618889927841345, 1.1618889927841345, 1.1450818372961522, 1.1815214909201093, 1.1086421836721951, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 1.1385238877505224, 1.1385238877505224, 1.1450818372961522, 1.1815214909201093, 1.1086421836721951, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 1.1237320790198009, 1.1237320790198009, 1.1450818372961522, 1.1815214909201093, 1.1086421836721951, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 1.1584097856252589, 1.1584097856252589, 1.1450818372961522, 1.1815214909201093, 1.1086421836721951, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 12, 1.1516191354429244, 1.1516191354429244, 1.1450818372961522, 1.1815214909201093, 1.1086421836721951, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 13, 1.1431316219549692, 1.1431316219549692, 1.1450818372961522, 1.1815214909201093, 1.1086421836721951, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 14, 1.1474965625375686, 1.1474965625375686, 1.1450818372961522, 1.1815214909201093, 1.1086421836721951, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0015, 2024-07-30 11:30, , 15, 1.1407228028735814, 1.1407228028735814, 1.1450818372961522, 1.1815214909201093, 1.1086421836721951, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0016, 2024-08-01 13:30, , 16, 1.1462436329172627, 1.1462436329172627, 1.1450818372961522, 1.1815214909201093, 1.1086421836721951, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0017, 2024-08-03 16:30, , 17, 1.1541326622390191, 1.1541326622390191, 1.1450818372961522, 1.1815214909201093, 1.1086421836721951, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
