experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 2603.060827612511, 2603.060827612511, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 2542.589748803043, 2542.589748803043, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 2601.4109310573576, 2601.4109310573576, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 2614.77288732577, 2614.77288732577, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 2604.403651709944, 2604.403651709944, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 2634.8590733783913, 2634.8590733783913, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 2591.5343061837434, 2591.5343061837434, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 2571.6391347924387, 2571.6391347924387, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 2593.411619049836, 2593.411619049836, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 2613.218457988052, 2613.218457988052, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 2612.148387227493, 2612.148387227493, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 12, 2567.7272826660273, 2567.7272826660273, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 13, 2586.3720414910067, 2586.3720414910067, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 14, 2491.4724919672235, 2491.4724919672235, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , lo, limit, , beyond 3σ, , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0015, 2024-07-30 11:30, , 15, 2610.075805893427, 2610.075805893427, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0016, 2024-08-01 13:30, , 16, 2588.473036128548, 2588.473036128548, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0017, 2024-08-03 16:30, , 17, 2602.4679615713867, 2602.4679615713867, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0018, 2024-08-04 14:30, , 18, 2598.2501313880894, 2598.2501313880894, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0019, 2024-08-08 16:30, , 19, 2594.1930483432, 2594.1930483432, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0020, 2024-08-16 11:30, , 20, 2631.1932003720563, 2631.1932003720563, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0021, 2024-08-19 15:30, , 21, 2566.8282410195043, 2566.8282410195043, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0022, 2024-08-25 12:30, , 22, 2561.19451863831, 2561.19451863831, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0023, 2024-08-31 17:30, , 23, 2558.3462177243905, 2558.3462177243905, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0024, 2024-09-10 14:30, , 24, 2581.066143826826, 2581.066143826826, 2592.6637012474775, 2681.7999966645807, 2503.5274058303744, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
