experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 35.36383550288488, 35.36383550288488, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 35.87194182949824, 35.87194182949824, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 35.583855905676, 35.583855905676, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 35.772009980367145, 35.772009980367145, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 35.136610253873485, 35.136610253873485, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 35.464914363100704, 35.464914363100704, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 35.10968248320998, 35.10968248320998, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 36.166292296578874, 36.166292296578874, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 35.86799970282579, 35.86799970282579, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 35.65560503701929, 35.65560503701929, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 35.745187149138445, 35.745187149138445, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 12, 35.60256398645139, 35.60256398645139, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 13, 36.03057961208769, 36.03057961208769, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 14, 35.58430040959315, 35.58430040959315, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0015, 2024-07-30 11:30, , 15, 35.330615854016514, 35.330615854016514, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0016, 2024-08-01 13:30, , 16, 35.80209369636904, 35.80209369636904, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0017, 2024-08-03 16:30, , 17, 35.87423143977487, 35.87423143977487, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0018, 2024-08-04 14:30, , 18, 35.4528858717175, 35.4528858717175, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0019, 2024-08-08 16:30, , 19, 36.241734709733194, 36.241734709733194, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0020, 2024-08-16 11:30, , 20, 34.992586138901885, 34.992586138901885, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0021, 2024-08-19 15:30, , 21, 35.68403439737522, 35.68403439737522, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0022, 2024-08-25 12:30, , 22, 34.7441742957637, 34.7441742957637, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0023, 2024-08-31 17:30, , 23, 35.59419658427747, 35.59419658427747, 35.632476311140906, 36.785013032143596, 34.479939590138216, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
