experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 299.81987337786916, 299.81987337786916, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 301.718868794262, 301.718868794262, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 300.46147074499095, 300.46147074499095, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 301.0433050213562, 301.0433050213562, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 302.80260196761304, 302.80260196761304, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 297.1496472626605, 297.1496472626605, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 302.7359264291038, 302.7359264291038, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 296.3644505909894, 296.3644505909894, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 299.29472285873885, 299.29472285873885, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 297.95415904802167, 297.95415904802167, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 300.97946049480186, 300.97946049480186, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 12, 299.93786230419033, 299.93786230419033, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 13, 297.0685401079414, 297.0685401079414, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 14, 299.0942388695121, 299.0942388695121, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0015, 2024-07-30 11:30, , 15, 300.43056345107817, 300.43056345107817, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0016, 2024-08-01 13:30, , 16, 295.9725509493083, 295.9725509493083, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0017, 2024-08-03 16:30, , 17, 305.26471229795527, 305.26471229795527, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0018, 2024-08-04 14:30, , 18, 299.50205781712606, 299.50205781712606, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0019, 2024-08-08 16:30, , 19, 302.22084537517947, 302.22084537517947, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0020, 2024-08-16 11:30, , 20, 296.50317621955674, 296.50317621955674, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0021, 2024-08-19 15:30, , 21, 299.30162360855, 299.30162360855, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0022, 2024-08-25 12:30, , 22, 301.30962534658977, 301.30962534658977, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0023, 2024-08-31 17:30, , 23, 299.4711523660686, 299.4711523660686, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0024, 2024-09-10 14:30, , 24, 301.0705874842814, 301.0705874842814, 299.81595169911276, 309.00220599614, 290.6296974020855, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
