experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 470.12637947836026, 470.12637947836026, 468.0936180134695, 483.71511460133917, 452.4721214255998, 36.00734553505607, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 463.25139930320574, 463.25139930320574, 468.0936180134695, 483.71511460133917, 452.4721214255998, 37.71794128764482, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 465.92652640895034, 465.92652640895034, 468.0936180134695, 483.71511460133917, 452.4721214255998, 33.98444143717514, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 475.5952189188027, 475.5952189188027, 468.0936180134695, 483.71511460133917, 452.4721214255998, 36.683663895545806, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 469.46430072279236, 469.46430072279236, 468.0936180134695, 483.71511460133917, 452.4721214255998, 36.25096973832027, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 462.9841920678583, 462.9841920678583, 468.0936180134695, 483.71511460133917, 452.4721214255998, 37.68701302005152, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 472.9862330099368, 472.9862330099368, 468.0936180134695, 483.71511460133917, 452.4721214255998, 36.77330146462926, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 466.2111420791567, 466.2111420791567, 468.0936180134695, 483.71511460133917, 452.4721214255998, 35.66052203449124, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 468.407341786579, 468.407341786579, 468.0936180134695, 483.71511460133917, 452.4721214255998, 35.795221464573984, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 465.18491144876623, 465.18491144876623, 468.0936180134695, 483.71511460133917, 452.4721214255998, 35.98448757607171, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
