experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 31567, 9.711149787551323, 9.711149787551323, 9.653329908928878, 9.787410835975718, 9.519248981882038, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 31618, 9.637962427154491, 9.637962427154491, 9.654416128256063, 9.788497055302903, 9.520335201209223, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 31846, 9.705014740205517, 9.705014740205517, 9.659272167601129, 9.79335309464797, 9.525191240554289, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 31943, 9.645163597461101, 9.645163597461101, 9.6613381141646, 9.79541904121144, 9.52725718711776, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 32289, 9.63175670959212, 9.63175670959212, 9.66870736685492, 9.80278829390176, 9.53462643980808, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 32316, 9.61466674870214, 9.61466674870214, 9.669282424145782, 9.803363351192623, 9.535201497098942, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 33105, 9.635377962284357, 9.635377962284357, 9.686086876089892, 9.820167803136732, 9.552005949043052, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 33176, 9.705811801747199, 9.705811801747199, 9.68759906378068, 9.821679990827521, 9.55351813673384, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 33312, 9.69337839177803, 9.69337839177803, 9.690495648653176, 9.824576575700016, 9.556414721606336, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 33922, 9.78046913534718, 9.78046913534718, 9.703487683743045, 9.837568610789885, 9.569406756696205, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 34174, 9.729082243391627, 9.729082243391627, 9.708854885124435, 9.842935812171275, 9.574773958077595, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 34246, 9.641087748192515, 9.641087748192515, 9.710388371233403, 9.844469298280243, 9.576307444186563, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 34571, 9.693408774081202, 9.693408774081202, 9.717310357141939, 9.851391284188779, 9.583229430095098, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 34595, 9.80367022500716, 9.80367022500716, 9.717821519178262, 9.851902446225102, 9.583740592131422, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0015, 2024-07-30 11:30, , 34918, 9.66900671630494, 9.66900671630494, 9.724700908250439, 9.858781835297279, 9.590619981203599, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0016, 2024-08-01 13:30, , 34967, 9.729233817212119, 9.729233817212119, 9.725744530741265, 9.859825457788105, 9.591663603694425, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0017, 2024-08-03 16:30, , 35016, 9.74364731389907, 9.74364731389907, 9.72678815323209, 9.86086908027893, 9.592707226185249, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0018, 2024-08-04 14:30, , 35037, 9.715267941214087, 9.715267941214087, 9.727235420013873, 9.861316347060713, 9.593154492967033, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0019, 2024-08-08 16:30, , 35132, 9.73933964228899, 9.73933964228899, 9.729258769740984, 9.863339696787824, 9.595177842694143, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0020, 2024-08-16 11:30, , 35314, 9.730757655309457, 9.730757655309457, 9.733135081849763, 9.867216008896603, 9.599054154802923, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0021, 2024-08-19 15:30, , 35387, 9.685022963437977, 9.685022963437977, 9.734689866376913, 9.868770793423753, 9.600608939330073, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
