experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 5.160356632632477, 5.160356632632477, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 5.364444714079598, 5.364444714079598, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 5.2373632232819585, 5.2373632232819585, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 5.344125224173282, 5.344125224173282, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 5.28832837118351, 5.28832837118351, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 5.304441771217055, 5.304441771217055, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 5.347408855270147, 5.347408855270147, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 5.414148889012598, 5.414148889012598, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 5.186630838855959, 5.186630838855959, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 5.317430414394438, 5.317430414394438, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 5.3071560758528555, 5.3071560758528555, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 12, 5.2066315734827, 5.2066315734827, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 13, 5.251682704593536, 5.251682704593536, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 14, 5.288787661069093, 5.288787661069093, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0015, 2024-07-30 11:30, , 15, 5.085300904181852, 5.085300904181852, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0016, 2024-08-01 13:30, , 16, 5.234721121880439, 5.234721121880439, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0017, 2024-08-03 16:30, , 17, 5.356481623101072, 5.356481623101072, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0018, 2024-08-04 14:30, , 18, 5.255179447731933, 5.255179447731933, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0019, 2024-08-08 16:30, , 19, 5.3582003187194145, 5.3582003187194145, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0020, 2024-08-16 11:30, , 20, 5.312396882723692, 5.312396882723692, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0021, 2024-08-19 15:30, , 21, 5.391683356179534, 5.391683356179534, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0022, 2024-08-25 12:30, , 22, 5.332089946899166, 5.332089946899166, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0023, 2024-08-31 17:30, , 23, 5.167457026866362, 5.167457026866362, 5.281060862371881, 5.546404571261437, 5.015717153482324, , , , , , , B-H18b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
