experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 2.8310681362209995, 2.8310681362209995, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 2.8453480949659666, 2.8453480949659666, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 2.799678038453829, 2.799678038453829, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 2.7968134482379394, 2.7968134482379394, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 2.8103711316558067, 2.8103711316558067, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 2.806621958901103, 2.806621958901103, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 2.878275598165587, 2.878275598165587, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 2.8052289156048107, 2.8052289156048107, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 2.838204662267182, 2.838204662267182, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 2.7892309139633524, 2.7892309139633524, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 2.8377012381505082, 2.8377012381505082, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 12, 2.8248243182241217, 2.8248243182241217, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 13, 2.79972135543845, 2.79972135543845, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 14, 2.8528479319641793, 2.8528479319641793, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0015, 2024-07-30 11:30, , 15, 2.8597977202891944, 2.8597977202891944, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0016, 2024-08-01 13:30, , 16, 2.7997933203016463, 2.7997933203016463, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0017, 2024-08-03 16:30, , 17, 2.815282875421421, 2.815282875421421, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0018, 2024-08-04 14:30, , 18, 2.8253775820741094, 2.8253775820741094, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0019, 2024-08-08 16:30, , 19, 2.823805104623139, 2.823805104623139, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0020, 2024-08-16 11:30, , 20, 2.801294546939016, 2.801294546939016, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0021, 2024-08-19 15:30, , 21, 2.8157712532673775, 2.8157712532673775, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0022, 2024-08-25 12:30, , 22, 2.771016170936904, 2.771016170936904, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0023, 2024-08-31 17:30, , 23, 2.8113864089358818, 2.8113864089358818, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0024, 2024-09-10 14:30, , 24, 2.834897171403179, 2.834897171403179, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0025, 2024-09-20 16:30, , 25, 2.8734199921783214, 2.8734199921783214, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0026, 2024-10-08 13:30, , 26, 2.8220733485933107, 2.8220733485933107, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0027, 2024-10-17 11:30, , 27, 2.81365275719999, 2.81365275719999, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0028, 2024-10-27 10:30, , 28, 2.836463816829331, 2.836463816829331, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0029, 2024-10-30 13:30, , 29, 2.84386726482897, 2.84386726482897, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0030, 2024-11-20 14:30, , 30, 2.7765811857458162, 2.7765811857458162, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0031, 2024-11-27 12:30, , 31, 2.804435512931558, 2.804435512931558, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0032, 2024-11-30 13:30, , 32, 2.833918637674505, 2.833918637674505, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0033, 2024-12-01 14:30, , 33, 2.806455021220865, 2.806455021220865, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0034, 2024-12-08 12:30, , 34, 2.7900663197404936, 2.7900663197404936, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0035, 2024-12-15 13:30, , 35, 2.812541705975545, 2.812541705975545, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0036, 2024-12-25 14:30, , 36, 2.825377215154584, 2.825377215154584, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0037, 2024-12-28 15:30, , 37, 2.786159193732138, 2.786159193732138, 2.8220643445931186, 2.8963239906655223, 2.747804698520715, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
