experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 2.8022278518999464, 2.8022278518999464, 2.84956816890561, 2.936965477455404, 2.762170860355816, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 2.871277224134234, 2.871277224134234, 2.84956816890561, 2.936965477455404, 2.762170860355816, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 2.804533417611037, 2.804533417611037, 2.84956816890561, 2.936965477455404, 2.762170860355816, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 2.849457307597996, 2.849457307597996, 2.84956816890561, 2.936965477455404, 2.762170860355816, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 2.837498652440817, 2.837498652440817, 2.84956816890561, 2.936965477455404, 2.762170860355816, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 2.8547676432861624, 2.8547676432861624, 2.84956816890561, 2.936965477455404, 2.762170860355816, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 2.8249254853158265, 2.8249254853158265, 2.84956816890561, 2.936965477455404, 2.762170860355816, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 2.8388514217708223, 2.8388514217708223, 2.84956816890561, 2.936965477455404, 2.762170860355816, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 2.879547992411032, 2.879547992411032, 2.84956816890561, 2.936965477455404, 2.762170860355816, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 2.8792567371180646, 2.8792567371180646, 2.84956816890561, 2.936965477455404, 2.762170860355816, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 2.8333298890095744, 2.8333298890095744, 2.84956816890561, 2.936965477455404, 2.762170860355816, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 12, 2.898856137371642, 2.898856137371642, 2.84956816890561, 2.936965477455404, 2.762170860355816, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 13, 2.837494548335495, 2.837494548335495, 2.84956816890561, 2.936965477455404, 2.762170860355816, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 14, 2.8330658485925313, 2.8330658485925313, 2.84956816890561, 2.936965477455404, 2.762170860355816, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0015, 2024-07-30 11:30, , 15, 2.8799025187131413, 2.8799025187131413, 2.84956816890561, 2.936965477455404, 2.762170860355816, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0016, 2024-08-01 13:30, , 16, 2.8993842242490895, 2.8993842242490895, 2.84956816890561, 2.936965477455404, 2.762170860355816, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
