experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 0.3600373320163111, 0.3805315124682076, 0.3856550575811817, 0.39658874496331203, 0.37472137019905133, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 0.40834432589871394, 0.38609407515430894, 0.3856550575811817, 0.39965700931738823, 0.37165310584497513, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 0.3834561118705432, 0.3855664824975558, 0.3856550575811817, 0.4013081881728848, 0.37000192698947854, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 0.41009001702929554, 0.3904711894039038, 0.3856550575811817, 0.4022790955399792, 0.36903101962238416, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 0.37887240594729904, 0.3881514327125829, 0.3856550575811817, 0.4028717659810386, 0.3684383491813248, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 0.3653149366496131, 0.38358413349998893, 0.3856550575811817, 0.40324059568982673, 0.36806951947253663, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 0.38648334528679884, 0.38416397585735096, 0.3856550575811817, 0.4034726403615519, 0.36783747480081147, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 0.3714003036961817, 0.38161124142511715, 0.3856550575811817, 0.4036195760466674, 0.36769053911569594, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 0.4153703469715435, 0.38836306253440245, 0.3856550575811817, 0.40371298744415585, 0.3675971277182075, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 0.36898911787051547, 0.3844882736016251, 0.3856550575811817, 0.403772517987355, 0.3675375971750084, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 0.39949947851930034, 0.38749051458516015, 0.3856550575811817, 0.4038105150960581, 0.3674996000663053, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 12, 0.3841970159040459, 0.3868318148489373, 0.3856550575811817, 0.40383479156762453, 0.36747532359473883, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 13, 0.3846005972175236, 0.3863855713226546, 0.3856550575811817, 0.4038503115110823, 0.36745980365128106, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 14, 0.38635792751402837, 0.3863800425609294, 0.3856550575811817, 0.4038602373313857, 0.36744987783097766, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0015, 2024-07-30 11:30, , 15, 0.3877176489371661, 0.38664756383617677, 0.3856550575811817, 0.4038665870172831, 0.36744352814508024, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0016, 2024-08-01 13:30, , 16, 0.4017527332067648, 0.3896685977102944, 0.3856550575811817, 0.40387064965466174, 0.3674394655077016, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0017, 2024-08-03 16:30, , 17, 0.3694618328851205, 0.38562724474525967, 0.3856550575811817, 0.40387324926713425, 0.3674368658952291, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0018, 2024-08-04 14:30, , 18, 0.4032853725347102, 0.3891588703031498, 0.3856550575811817, 0.4038749128244614, 0.36743520233790194, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0019, 2024-08-08 16:30, , 19, 0.37784093619747533, 0.38689528348201496, 0.3856550575811817, 0.4038759774214433, 0.36743413774092004, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0020, 2024-08-16 11:30, , 20, 0.3700293654706848, 0.38352209987974895, 0.3856550575811817, 0.4038766587308697, 0.36743345643149367, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0021, 2024-08-19 15:30, , 21, 0.447877260019417, 0.39639313190768255, 0.3856550575811817, 0.40387709475553396, 0.3674330204068294, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0022, 2024-08-25 12:30, , 22, 0.3765354270118738, 0.3924215909285208, 0.3856550575811817, 0.4038773738058437, 0.36743274135651965, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0023, 2024-08-31 17:30, , 23, 0.3910114033250609, 0.39213955340782886, 0.3856550575811817, 0.40387755239579937, 0.367432562766564, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0024, 2024-09-10 14:30, , 24, 0.3934057901230598, 0.39239280075087507, 0.3856550575811817, 0.40387766669245245, 0.3674324484699109, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0025, 2024-09-20 16:30, , 25, 0.38626908227681744, 0.39116805705606356, 0.3856550575811817, 0.4038777398419342, 0.36743237532042916, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0026, 2024-10-08 13:30, , 26, 0.3861687570337525, 0.39016819705160133, 0.3856550575811817, 0.40387778665744845, 0.3674323285049149, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0027, 2024-10-17 11:30, , 27, 0.3962761350985202, 0.3913897846609851, 0.3856550575811817, 0.40387781661931443, 0.36743229854304893, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0028, 2024-10-27 10:30, , 28, 0.3770573114092347, 0.388523290010635, 0.3856550575811817, 0.4038778357948828, 0.3674322793674806, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0029, 2024-10-30 13:30, , 29, 0.3802666355231665, 0.3868719591131413, 0.3856550575811817, 0.403877848067236, 0.3674322670951274, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0030, 2024-11-20 14:30, , 30, 0.388740798897775, 0.3872457270700681, 0.3856550575811817, 0.40387785592153763, 0.36743225924082573, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0031, 2024-11-27 12:30, , 31, 0.38492126343855526, 0.38678083434376553, 0.3856550575811817, 0.403877860948289, 0.3674322542140744, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0032, 2024-11-30 13:30, , 32, 0.4055200677105547, 0.3905286810171234, 0.3856550575811817, 0.40387786416540905, 0.3674322509969543, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0033, 2024-12-01 14:30, , 33, 0.40665436061094873, 0.3937538169358885, 0.3856550575811817, 0.4038778662243656, 0.36743224893799775, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0034, 2024-12-08 12:30, , 34, 0.4578014774810851, 0.40656334904492786, 0.3856550575811817, 0.4038778675420977, 0.36743224762026566, , hi, limit, , EWMA beyond limit, , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0035, 2024-12-15 13:30, , 35, 0.3876262265208325, 0.4027759245401088, 0.3856550575811817, 0.4038778683854462, 0.36743224677691716, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0036, 2024-12-25 14:30, , 36, 0.3881112940937033, 0.39984299845082777, 0.3856550575811817, 0.40387786892518923, 0.36743224623717413, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0037, 2024-12-28 15:30, , 37, 0.3921989042842691, 0.3983141796175161, 0.3856550575811817, 0.40387786927062475, 0.3674322458917386, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0038, 2024-12-30 15:30, , 38, 0.3921111254064215, 0.3970735687752972, 0.3856550575811817, 0.40387786949170346, 0.3674322456706599, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0039, 2024-12-30 15:30, , 39, 0.4055640448998929, 0.39877166400021635, 0.3856550575811817, 0.40387786963319383, 0.36743224552916953, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0040, 2025-01-13 13:30, , 40, 0.4128322368788907, 0.4015837785759513, 0.3856550575811817, 0.4038778697237477, 0.3674322454386157, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0041, 2025-01-20 10:30, , 41, 0.3848276911647767, 0.3982325610937164, 0.3856550575811817, 0.40387786978170215, 0.3674322453806612, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0043, 2025-01-20 10:30, , 42, 0.3869931424067084, 0.3959846773563148, 0.3856550575811817, 0.403877869818793, 0.3674322453435704, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0042, 2025-01-20 11:30, , 43, 0.42055691859558064, 0.400899125604168, 0.3856550575811817, 0.40387786984253116, 0.3674322453198322, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0044, 2025-02-06 16:30, , 44, 0.40577121455591225, 0.40187354339451686, 0.3856550575811817, 0.40387786985772356, 0.3674322453046398, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0045, 2025-02-12 16:30, , 45, 0.4142578571627551, 0.40435040614816453, 0.3856550575811817, 0.4038778698674467, 0.36743224529491664, , hi, limit, , EWMA beyond limit, , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0046, 2025-02-18 10:30, , 46, 0.4113286921536098, 0.40574606334925356, 0.3856550575811817, 0.4038778698736695, 0.36743224528869384, , hi, limit, , EWMA beyond limit, , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0047, 2025-02-22 16:30, , 47, 0.39307022798321023, 0.4032108962760449, 0.3856550575811817, 0.4038778698776521, 0.36743224528471125, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0048, 2025-02-27 15:30, , 48, 0.3879304970462637, 0.4001548164300887, 0.3856550575811817, 0.40387786988020097, 0.3674322452821624, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0049, 2025-02-28 12:30, , 49, 0.4112689405727674, 0.40237764125862446, 0.3856550575811817, 0.4038778698818323, 0.3674322452805311, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0050, 2025-03-01 12:30, , 50, 0.4178562310957961, 0.4054733592260588, 0.3856550575811817, 0.4038778698828763, 0.3674322452794871, , hi, limit, , EWMA beyond limit, , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0051, 2025-03-01 15:30, , 51, 0.4274075213453195, 0.409860191649911, 0.3856550575811817, 0.40387786988354446, 0.3674322452788189, , hi, limit, , EWMA beyond limit, , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0052, 2025-03-12 16:30, , 52, 0.38690803915121236, 0.4052697611501713, 0.3856550575811817, 0.40387786988397206, 0.3674322452783913, , hi, limit, , EWMA beyond limit, , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0053, 2025-03-20 12:30, , 53, 0.39631517858788784, 0.40347884463771466, 0.3856550575811817, 0.40387786988424573, 0.36743224527811763, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0054, 2025-04-12 14:30, , 54, 0.3919091191150763, 0.401164899533187, 0.3856550575811817, 0.4038778698844209, 0.36743224527794244, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0055, 2025-04-29 13:30, , 55, 0.40834699459220936, 0.40260131854499154, 0.3856550575811817, 0.403877869884533, 0.36743224527783036, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0056, 2025-04-30 13:30, , 56, 0.4226545907826899, 0.40661197299253127, 0.3856550575811817, 0.4038778698846047, 0.36743224527775864, , hi, limit, , EWMA beyond limit, , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0057, 2025-05-02 11:30, , 57, 0.39723790539278697, 0.4047371594725825, 0.3856550575811817, 0.4038778698846507, 0.3674322452777127, , hi, limit, , EWMA beyond limit, , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0058, 2025-07-02 16:30, , 58, 0.3959078988964832, 0.40297130735736264, 0.3856550575811817, 0.40387786988468005, 0.3674322452776833, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
