experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 40.96010492298806, 40.96010492298806, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 41.251946926441654, 41.251946926441654, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 41.8573157095631, 41.8573157095631, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 41.64322266890648, 41.64322266890648, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 41.570757197338516, 41.570757197338516, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 41.8086720645431, 41.8086720645431, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 42.30326231092066, 42.30326231092066, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 42.509213571726974, 42.509213571726974, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 40.72633442842106, 40.72633442842106, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 41.803940823383854, 41.803940823383854, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 42.12075281624099, 42.12075281624099, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 12, 41.09653475747924, 41.09653475747924, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 13, 41.96217882017869, 41.96217882017869, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 14, 41.42847436157059, 41.42847436157059, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0015, 2024-07-30 11:30, , 15, 41.48559670318603, 41.48559670318603, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0016, 2024-08-01 13:30, , 16, 41.72279995295386, 41.72279995295386, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0017, 2024-08-03 16:30, , 17, 42.53752553893108, 42.53752553893108, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0018, 2024-08-04 14:30, , 18, 41.96730086924278, 41.96730086924278, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0019, 2024-08-08 16:30, , 19, 41.49794338352093, 41.49794338352093, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0020, 2024-08-16 11:30, , 20, 41.96725912990872, 41.96725912990872, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0021, 2024-08-19 15:30, , 21, 42.915244255839866, 42.915244255839866, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0022, 2024-08-25 12:30, , 22, 42.296056229980714, 42.296056229980714, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0023, 2024-08-31 17:30, , 23, 41.64747882827775, 41.64747882827775, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0024, 2024-09-10 14:30, , 24, 41.69239863759813, 41.69239863759813, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0025, 2024-09-20 16:30, , 25, 42.22152825171772, 42.22152825171772, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0026, 2024-10-08 13:30, , 26, 41.961446038288926, 41.961446038288926, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0027, 2024-10-17 11:30, , 27, 42.33579833934113, 42.33579833934113, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0028, 2024-10-27 10:30, , 28, 42.152933150784754, 42.152933150784754, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0029, 2024-10-30 13:30, , 29, 42.87255432001704, 42.87255432001704, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0030, 2024-11-20 14:30, , 30, 41.56429951555359, 41.56429951555359, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0031, 2024-11-27 12:30, , 31, 42.38745589485915, 42.38745589485915, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0032, 2024-11-30 13:30, , 32, 42.12768356315652, 42.12768356315652, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0033, 2024-12-01 14:30, , 33, 42.35252460401963, 42.35252460401963, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0034, 2024-12-08 12:30, , 34, 42.214732995394634, 42.214732995394634, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0035, 2024-12-15 13:30, , 35, 41.9001602038452, 41.9001602038452, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0036, 2024-12-25 14:30, , 36, 41.474636190820526, 41.474636190820526, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0037, 2024-12-28 15:30, , 37, 42.2978503583612, 42.2978503583612, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0038, 2024-12-30 15:30, , 38, 41.262541059452126, 41.262541059452126, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0039, 2024-12-30 15:30, , 39, 42.00844910671534, 42.00844910671534, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0040, 2025-01-13 13:30, , 40, 41.74947446125098, 41.74947446125098, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0041, 2025-01-20 10:30, , 41, 41.69725619656613, 41.69725619656613, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0043, 2025-01-20 10:30, , 42, 42.48128018688199, 42.48128018688199, 41.711056847872314, 43.15857068655396, 40.26354300919067, , , , , , , B-H6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
