experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 104.46377326261245, 104.46377326261245, 104.87367422127156, 107.69339294124039, 102.05395550130272, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 105.05815457519009, 105.05815457519009, 104.87367422127156, 107.69339294124039, 102.05395550130272, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 105.43412955334578, 105.43412955334578, 104.87367422127156, 107.69339294124039, 102.05395550130272, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 106.09198141487185, 106.09198141487185, 104.87367422127156, 107.69339294124039, 102.05395550130272, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 105.06027106095313, 105.06027106095313, 104.87367422127156, 107.69339294124039, 102.05395550130272, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 103.29660867931095, 103.29660867931095, 104.87367422127156, 107.69339294124039, 102.05395550130272, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 104.97602002848755, 104.97602002848755, 104.87367422127156, 107.69339294124039, 102.05395550130272, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 104.40635783679954, 104.40635783679954, 104.87367422127156, 107.69339294124039, 102.05395550130272, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 105.32185589837458, 105.32185589837458, 104.87367422127156, 107.69339294124039, 102.05395550130272, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 105.09718133064194, 105.09718133064194, 104.87367422127156, 107.69339294124039, 102.05395550130272, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
