experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 173710.49697966705, 173710.49697966705, 175504.97885754769, 183019.91398858675, 167990.04372650862, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 176854.37166113764, 176854.37166113764, 175504.97885754769, 183019.91398858675, 167990.04372650862, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 173313.3134963571, 173313.3134963571, 175504.97885754769, 183019.91398858675, 167990.04372650862, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 178281.5540585141, 178281.5540585141, 175504.97885754769, 183019.91398858675, 167990.04372650862, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 175996.31019717065, 175996.31019717065, 175504.97885754769, 183019.91398858675, 167990.04372650862, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 172043.25843291738, 172043.25843291738, 175504.97885754769, 183019.91398858675, 167990.04372650862, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 176980.8442536515, 176980.8442536515, 175504.97885754769, 183019.91398858675, 167990.04372650862, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 174408.78007686458, 174408.78007686458, 175504.97885754769, 183019.91398858675, 167990.04372650862, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 178073.79630585702, 178073.79630585702, 175504.97885754769, 183019.91398858675, 167990.04372650862, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 176481.82966941193, 176481.82966941193, 175504.97885754769, 183019.91398858675, 167990.04372650862, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
