experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 6.66776258377579, 6.66776258377579, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 6.727205993685159, 6.727205993685159, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 6.806677694591949, 6.806677694591949, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 6.741766555778352, 6.741766555778352, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 6.694602018758012, 6.694602018758012, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 6.7407433740025935, 6.7407433740025935, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 6.785219671875778, 6.785219671875778, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 6.810359878951559, 6.810359878951559, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 6.779462996651061, 6.779462996651061, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 6.764101809141488, 6.764101809141488, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 6.837580866401081, 6.837580866401081, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 12, 6.867169986634822, 6.867169986634822, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 13, 6.840145512017091, 6.840145512017091, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 14, 6.818425133073682, 6.818425133073682, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , hi, rule, , 4 of 5 beyond 1σ, , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0015, 2024-07-30 11:30, , 15, 6.7294624382568555, 6.7294624382568555, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0016, 2024-08-01 13:30, , 16, 6.704731092395315, 6.704731092395315, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0017, 2024-08-03 16:30, , 17, 6.72904088203771, 6.72904088203771, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0018, 2024-08-04 14:30, , 18, 6.823166495869422, 6.823166495869422, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0019, 2024-08-08 16:30, , 19, 6.809161376933203, 6.809161376933203, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0020, 2024-08-16 11:30, , 20, 6.742327140778784, 6.742327140778784, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0021, 2024-08-19 15:30, , 21, 6.784097078838028, 6.784097078838028, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0022, 2024-08-25 12:30, , 22, 6.766683736553794, 6.766683736553794, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0023, 2024-08-31 17:30, , 23, 6.884405701897855, 6.884405701897855, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0024, 2024-09-10 14:30, , 24, 6.876980023886406, 6.876980023886406, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , hi, rule, , 2 of 3 beyond 2σ, , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0025, 2024-09-20 16:30, , 25, 6.687553536860482, 6.687553536860482, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0026, 2024-10-08 13:30, , 26, 6.885617608253857, 6.885617608253857, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , hi, rule, , 2 of 3 beyond 2σ, , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0027, 2024-10-17 11:30, , 27, 6.830647156383014, 6.830647156383014, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , hi, rule, , 4 of 5 beyond 1σ, , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0028, 2024-10-27 10:30, , 28, 6.918106061754793, 6.918106061754793, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , hi, limit, , beyond 3σ; 2 of 3 beyond 2σ; 4 of 5 beyond 1σ, , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0029, 2024-10-30 13:30, , 29, 6.8626445309896775, 6.8626445309896775, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , hi, rule, , 2 of 3 beyond 2σ; 4 of 5 beyond 1σ, , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0030, 2024-11-20 14:30, , 30, 6.701169373411125, 6.701169373411125, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0031, 2024-11-27 12:30, , 31, 6.786641562178305, 6.786641562178305, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0032, 2024-11-30 13:30, , 32, 6.932499964156109, 6.932499964156109, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , hi, limit, , beyond 3σ, , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0033, 2024-12-01 14:30, , 33, 6.891309568808276, 6.891309568808276, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , hi, rule, , 2 of 3 beyond 2σ, , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0034, 2024-12-08 12:30, , 34, 6.961961286561311, 6.961961286561311, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , hi, limit, , beyond 3σ; 2 of 3 beyond 2σ, , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0035, 2024-12-15 13:30, , 35, 6.754522344591552, 6.754522344591552, 6.7709556750804865, 6.893826412335708, 6.648084937825265, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
