experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 19.438078775505055, 19.438078775505055, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 21.98256870839797, 21.98256870839797, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 21.25745502131348, 21.25745502131348, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 20.596293769866506, 20.596293769866506, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 21.424349878542667, 21.424349878542667, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 21.11552275336775, 21.11552275336775, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 20.508560676423365, 20.508560676423365, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 17.998977844887058, 17.998977844887058, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 19.973207887477542, 19.973207887477542, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 18.01816476019077, 18.01816476019077, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 19.212748582909285, 19.212748582909285, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 12, 18.09944535779819, 18.09944535779819, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 13, 18.98205846803419, 18.98205846803419, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 14, 19.381734666066624, 19.381734666066624, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0015, 2024-07-30 11:30, , 15, 23.353171530351073, 23.353171530351073, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0016, 2024-08-01 13:30, , 16, 21.405705054014636, 21.405705054014636, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0017, 2024-08-03 16:30, , 17, 19.067890093446543, 19.067890093446543, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0018, 2024-08-04 14:30, , 18, 20.266789811263706, 20.266789811263706, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0019, 2024-08-08 16:30, , 19, 19.97236390277102, 19.97236390277102, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0020, 2024-08-16 11:30, , 20, 21.107958172604707, 21.107958172604707, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0021, 2024-08-19 15:30, , 21, 20.438941267031016, 20.438941267031016, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0022, 2024-08-25 12:30, , 22, 20.595361671186655, 20.595361671186655, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0023, 2024-08-31 17:30, , 23, 22.07794893839374, 22.07794893839374, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0024, 2024-09-10 14:30, , 24, 18.768782700502637, 18.768782700502637, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0025, 2024-09-20 16:30, , 25, 21.08937749163792, 21.08937749163792, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0026, 2024-10-08 13:30, , 26, 16.817988121648376, 16.817988121648376, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0027, 2024-10-17 11:30, , 27, 20.505269547954843, 20.505269547954843, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0028, 2024-10-27 10:30, , 28, 18.732181426616652, 18.732181426616652, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0029, 2024-10-30 13:30, , 29, 18.368971563856846, 18.368971563856846, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0030, 2024-11-20 14:30, , 30, 19.436704971132755, 19.436704971132755, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0031, 2024-11-27 12:30, , 31, 19.061084225592072, 19.061084225592072, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0032, 2024-11-30 13:30, , 32, 20.17437464862616, 20.17437464862616, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0033, 2024-12-01 14:30, , 33, 20.925302028016574, 20.925302028016574, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0034, 2024-12-08 12:30, , 34, 21.332398387622536, 21.332398387622536, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0035, 2024-12-15 13:30, , 35, 21.87902363263017, 21.87902363263017, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0036, 2024-12-25 14:30, , 36, 22.243629897446066, 22.243629897446066, 20.158152285761606, 23.88005608434279, 16.43624848718042, , hi, rule, , 6 rising/falling, , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0037, 2024-12-28 15:30, , 37, 21.666770681847666, 21.666770681847666, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0038, 2024-12-30 15:30, , 38, 19.906825075127802, 19.906825075127802, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0039, 2024-12-30 15:30, , 39, 21.76799687111597, 21.76799687111597, 20.158152285761606, 23.88005608434279, 16.43624848718042, , hi, rule, , 4 of 5 beyond 1σ, , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0040, 2025-01-13 13:30, , 40, 18.591649670843562, 18.591649670843562, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0041, 2025-01-20 10:30, , 41, 18.29911843070696, 18.29911843070696, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0043, 2025-01-20 10:30, , 42, 19.117298449139245, 19.117298449139245, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0042, 2025-01-20 11:30, , 43, 19.81245885610576, 19.81245885610576, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0044, 2025-02-06 16:30, , 44, 19.356379843262776, 19.356379843262776, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0045, 2025-02-12 16:30, , 45, 21.90213598793989, 21.90213598793989, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0046, 2025-02-18 10:30, , 46, 19.33326396483962, 19.33326396483962, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0047, 2025-02-22 16:30, , 47, 17.461635722057814, 17.461635722057814, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0048, 2025-02-27 15:30, , 48, 22.27479507061033, 22.27479507061033, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0049, 2025-02-28 12:30, , 49, 19.218596575583117, 19.218596575583117, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0050, 2025-03-01 12:30, , 50, 19.22164257621021, 19.22164257621021, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0051, 2025-03-01 15:30, , 51, 21.531103746602998, 21.531103746602998, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0052, 2025-03-12 16:30, , 52, 18.0234917165759, 18.0234917165759, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0053, 2025-03-20 12:30, , 53, 19.69160789830355, 19.69160789830355, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0054, 2025-04-12 14:30, , 54, 19.43386107512571, 19.43386107512571, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0055, 2025-04-29 13:30, , 55, 21.63718256021086, 21.63718256021086, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0056, 2025-04-30 13:30, , 56, 20.122417739206742, 20.122417739206742, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0057, 2025-05-02 11:30, , 57, 18.060198339049865, 18.060198339049865, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0058, 2025-07-02 16:30, , 58, 21.04367210150432, 21.04367210150432, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0059, 2025-07-14 12:30, , 59, 19.67954797577203, 19.67954797577203, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0060, 2025-08-04 17:30, , 60, 20.649060470975893, 20.649060470975893, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0061, 2025-08-05 11:30, , 61, 18.325069043073025, 18.325069043073025, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0062, 2025-08-05 11:30, , 62, 20.597347591847328, 20.597347591847328, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0063, 2025-08-09 12:30, , 63, 19.484171478312817, 19.484171478312817, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0064, 2025-08-12 15:30, , 64, 20.39803629725618, 20.39803629725618, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0065, 2025-08-19 11:30, , 65, 18.29653472307239, 18.29653472307239, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0066, 2025-08-29 12:30, , 66, 21.758897589426155, 21.758897589426155, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0067, 2025-09-05 11:30, , 67, 22.191305531767153, 22.191305531767153, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0068, 2025-09-17 15:30, , 68, 20.54995951977575, 20.54995951977575, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0069, 2025-09-18 15:30, , 69, 22.45862204419904, 22.45862204419904, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0070, 2025-10-04 11:30, , 70, 18.912912507813807, 18.912912507813807, 20.158152285761606, 23.88005608434279, 16.43624848718042, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
