experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 34.30395336374098, 34.30395336374098, 33.972181234506614, 35.198394451553746, 32.74596801745948, , , , , , , B-S2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 33.778563552306, 33.778563552306, 33.972181234506614, 35.198394451553746, 32.74596801745948, , , , , , , B-S2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 34.24649752136464, 34.24649752136464, 33.972181234506614, 35.198394451553746, 32.74596801745948, , , , , , , B-S2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 33.22419259875098, 33.22419259875098, 33.972181234506614, 35.198394451553746, 32.74596801745948, , , , , , , B-S2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 34.03209171710272, 34.03209171710272, 33.972181234506614, 35.198394451553746, 32.74596801745948, , , , , , , B-S2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 33.801602949114745, 33.801602949114745, 33.972181234506614, 35.198394451553746, 32.74596801745948, , , , , , , B-S2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 34.004043359238295, 34.004043359238295, 33.972181234506614, 35.198394451553746, 32.74596801745948, , , , , , , B-S2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 33.434380703279565, 33.434380703279565, 33.972181234506614, 35.198394451553746, 32.74596801745948, , , , , , , B-S2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 34.29135382159614, 34.29135382159614, 33.972181234506614, 35.198394451553746, 32.74596801745948, , , , , , , B-S2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 34.142662142215094, 34.142662142215094, 33.972181234506614, 35.198394451553746, 32.74596801745948, , , , , , , B-S2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 34.16212653401636, 34.16212653401636, 33.972181234506614, 35.198394451553746, 32.74596801745948, , , , , , , B-S2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 12, 33.8213710042115, 33.8213710042115, 33.972181234506614, 35.198394451553746, 32.74596801745948, , , , , , , B-S2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 13, 34.0080591270143, 34.0080591270143, 33.972181234506614, 35.198394451553746, 32.74596801745948, , , , , , , B-S2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 14, 34.51597101789498, 34.51597101789498, 33.972181234506614, 35.198394451553746, 32.74596801745948, , , , , , , B-S2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
