experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 487.9775734872855, 487.9775734872855, 490.5195078568731, 579.2865838087728, 401.75243190497343, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 490.2897024002506, 490.2897024002506, 490.5195078568731, 580.307484165668, 400.7315315480782, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 494.76698860677715, 494.76698860677715, 490.5195078568731, 580.1422486377533, 400.8967670759929, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 491.528459023381, 491.528459023381, 490.5195078568731, 580.1385820859268, 400.9004336278193, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 499.27786647139345, 499.27786647139345, 490.5195078568731, 580.2221877706812, 400.81682794306494, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 493.9575302402653, 493.9575302402653, 490.5195078568731, 580.153265335666, 400.8857503780801, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 497.2260784759189, 497.2260784759189, 490.5195078568731, 579.9980489378726, 401.0409667758736, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 484.5412724832468, 484.5412724832468, 490.5195078568731, 579.9412963935516, 401.0977193201945, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 496.47876861588134, 496.47876861588134, 490.5195078568731, 580.1919744150648, 400.84704129868135, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 487.92048505218617, 487.92048505218617, 490.5195078568731, 579.5354845192951, 401.50353119445106, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 483.0897109311857, 483.0897109311857, 490.5195078568731, 579.5116072859489, 401.52740842779724, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 12, 484.32492045409515, 484.32492045409515, 490.5195078568731, 580.0813733269867, 400.9576423867594, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 13, 500.55954095370737, 500.55954095370737, 490.5195078568731, 580.3349328964571, 400.70408281728913, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 14, 478.49251817533286, 478.49251817533286, 490.5195078568731, 578.998606325722, 402.04040938802416, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0015, 2024-07-30 11:30, , 15, 486.43487510422483, 486.43487510422483, 490.5195078568731, 579.8579289824667, 401.1810867312795, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0016, 2024-08-01 13:30, , 16, 484.2869147964524, 484.2869147964524, 490.5195078568731, 579.5559435840928, 401.48307212965335, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0017, 2024-08-03 16:30, , 17, 501.3661417010338, 501.3661417010338, 490.5195078568731, 580.4347450982302, 400.60427061551593, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0018, 2024-08-04 14:30, , 18, 484.28022459977944, 484.28022459977944, 490.5195078568731, 579.6634195273522, 401.375596186394, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0019, 2024-08-08 16:30, , 19, 494.1279031779448, 494.1279031779448, 490.5195078568731, 579.8001301517743, 401.23888556197187, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0020, 2024-08-16 11:30, , 20, 490.25987738528147, 490.25987738528147, 490.5195078568731, 580.7336723179632, 400.3053433957829, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0021, 2024-08-19 15:30, , 21, 499.9529816565368, 499.9529816565368, 490.5195078568731, 580.0847863493568, 400.9542293643894, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0022, 2024-08-25 12:30, , 22, 483.15177721269214, 483.15177721269214, 490.5195078568731, 578.9548967308085, 402.0841189829376, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0023, 2024-08-31 17:30, , 23, 488.28752603534116, 488.28752603534116, 490.5195078568731, 579.9839787093442, 401.055037004402, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0024, 2024-09-10 14:30, , 24, 483.88460315459133, 483.88460315459133, 490.5195078568731, 579.6587973411871, 401.38021837255906, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0025, 2024-09-20 16:30, , 25, 488.02714120516487, 488.02714120516487, 490.5195078568731, 580.1557676444504, 400.88324806929575, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0026, 2024-10-08 13:30, , 26, 504.5432853469021, 504.5432853469021, 490.5195078568731, 579.8914598098231, 401.14755590392303, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0027, 2024-10-17 11:30, , 27, 490.7732938459649, 490.7732938459649, 490.5195078568731, 579.9002663897385, 401.1387493240077, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
