experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 7639.695064336495, 7639.695064336495, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 7613.335368068594, 7613.335368068594, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 7691.971828669339, 7691.971828669339, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 7845.838704252181, 7845.838704252181, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 7518.654509321638, 7518.654509321638, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 7652.435677744505, 7652.435677744505, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 7720.20932547266, 7720.20932547266, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 7499.668142653395, 7499.668142653395, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 7583.817401717343, 7583.817401717343, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 7435.020573539303, 7435.020573539303, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 7653.846488885972, 7653.846488885972, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0012, 2024-07-01 14:30, , 12, 7538.435058748569, 7538.435058748569, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0013, 2024-07-15 13:30, , 13, 7631.193365635616, 7631.193365635616, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0014, 2024-07-16 14:30, , 14, 7654.2618983977345, 7654.2618983977345, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0015, 2024-07-30 11:30, , 15, 7461.681472893215, 7461.681472893215, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0016, 2024-08-01 13:30, , 16, 7603.559939950067, 7603.559939950067, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0017, 2024-08-03 16:30, , 17, 7578.464758900863, 7578.464758900863, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0018, 2024-08-04 14:30, , 18, 7597.0505055835365, 7597.0505055835365, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0019, 2024-08-08 16:30, , 19, 7675.297675197757, 7675.297675197757, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0020, 2024-08-16 11:30, , 20, 7653.834570747618, 7653.834570747618, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0021, 2024-08-19 15:30, , 21, 7591.092172297857, 7591.092172297857, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0022, 2024-08-25 12:30, , 22, 7414.550242642571, 7414.550242642571, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0023, 2024-08-31 17:30, , 23, 7836.501164903395, 7836.501164903395, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0024, 2024-09-10 14:30, , 24, 7465.725988990697, 7465.725988990697, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0025, 2024-09-20 16:30, , 25, 7682.527896851504, 7682.527896851504, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0026, 2024-10-08 13:30, , 26, 7776.260986370217, 7776.260986370217, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0027, 2024-10-17 11:30, , 27, 7721.603995709459, 7721.603995709459, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0028, 2024-10-27 10:30, , 28, 7431.3975420479655, 7431.3975420479655, 7612.4136165358195, 7916.025541659721, 7308.801691411918, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
