experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 8.522424362065397, 8.522424362065397, 8.530438764962483, 8.712997989802076, 8.34787954012289, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 8.558885399806535, 8.558885399806535, 8.530438764962483, 8.712997989802076, 8.34787954012289, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 8.653544543223385, 8.653544543223385, 8.530438764962483, 8.712997989802076, 8.34787954012289, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 8.543455052028591, 8.543455052028591, 8.530438764962483, 8.712997989802076, 8.34787954012289, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 8.437973786748083, 8.437973786748083, 8.530438764962483, 8.712997989802076, 8.34787954012289, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 8.529291968563733, 8.529291968563733, 8.530438764962483, 8.712997989802076, 8.34787954012289, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 8.622347397798572, 8.622347397798572, 8.530438764962483, 8.712997989802076, 8.34787954012289, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 8.524019362095737, 8.524019362095737, 8.530438764962483, 8.712997989802076, 8.34787954012289, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 8.511024855155021, 8.511024855155021, 8.530438764962483, 8.712997989802076, 8.34787954012289, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 8.398090601702926, 8.398090601702926, 8.530438764962483, 8.712997989802076, 8.34787954012289, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
