experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 9994.91176687564, 9994.91176687564, 10052.41839470468, 10306.707652174102, 9798.129137235259, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 9927.02828815586, 9927.02828815586, 10052.41839470468, 10306.707652174102, 9798.129137235259, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 10304.280251529872, 10304.280251529872, 10052.41839470468, 10306.707652174102, 9798.129137235259, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 10066.391219682493, 10066.391219682493, 10052.41839470468, 10306.707652174102, 9798.129137235259, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 10060.095082534786, 10060.095082534786, 10052.41839470468, 10306.707652174102, 9798.129137235259, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 10065.753976051376, 10065.753976051376, 10052.41839470468, 10306.707652174102, 9798.129137235259, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 10027.635063543803, 10027.635063543803, 10052.41839470468, 10306.707652174102, 9798.129137235259, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 9971.446484965742, 9971.446484965742, 10052.41839470468, 10306.707652174102, 9798.129137235259, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 10019.288407287435, 10019.288407287435, 10052.41839470468, 10306.707652174102, 9798.129137235259, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 9933.231436273703, 9933.231436273703, 10052.41839470468, 10306.707652174102, 9798.129137235259, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
