experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSA_HIST_0001, 2024-03-08 10:30, , 1, 145.49839373071714, 145.49839373071714, 146.80115740934144, 149.60344743288735, 143.99886738579553, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0002, 2024-03-10 15:30, , 2, 145.17714232750563, 145.17714232750563, 146.80115740934144, 149.60344743288735, 143.99886738579553, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0003, 2024-03-20 10:30, , 3, 146.4417113379643, 146.4417113379643, 146.80115740934144, 149.60344743288735, 143.99886738579553, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0004, 2024-03-24 14:30, , 4, 147.2378449764733, 147.2378449764733, 146.80115740934144, 149.60344743288735, 143.99886738579553, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0005, 2024-04-08 12:30, , 5, 145.70752489889531, 145.70752489889531, 146.80115740934144, 149.60344743288735, 143.99886738579553, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0006, 2024-04-09 15:30, , 6, 147.88405640202663, 147.88405640202663, 146.80115740934144, 149.60344743288735, 143.99886738579553, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0007, 2024-05-13 13:30, , 7, 146.9030760926123, 146.9030760926123, 146.80115740934144, 149.60344743288735, 143.99886738579553, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0008, 2024-05-16 14:30, , 8, 146.40710790684912, 146.40710790684912, 146.80115740934144, 149.60344743288735, 143.99886738579553, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0009, 2024-05-22 11:30, , 9, 147.35220555774362, 147.35220555774362, 146.80115740934144, 149.60344743288735, 143.99886738579553, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0010, 2024-06-17 16:30, , 10, 147.1747293922514, 147.1747293922514, 146.80115740934144, 149.60344743288735, 143.99886738579553, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSA_HIST_0011, 2024-06-28 12:30, , 11, 145.30645703087157, 145.30645703087157, 146.80115740934144, 149.60344743288735, 143.99886738579553, , , , , , , B-S9, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
