experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 1.011872843659038, 1.011872843659038, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 1.0183364844347975, 1.0183364844347975, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 0.9962634664405773, 0.9962634664405773, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 1.002880414695645, 1.002880414695645, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 1.0230936147151306, 1.0230936147151306, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 0.992137278286836, 0.992137278286836, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 0.9874097896896028, 0.9874097896896028, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 0.98864509567874, 0.98864509567874, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 1.0122319201156031, 1.0122319201156031, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 0.9895709638085838, 0.9895709638085838, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0011, 2025-09-19 17:30, , 11, 0.9737991523115036, 0.9737991523115036, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0013, 2025-09-28 12:30, , 12, 0.99381109514112, 0.99381109514112, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0012, 2025-09-28 13:30, , 13, 1.0160901738678234, 1.0160901738678234, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0014, 2025-09-30 14:30, , 14, 1.0171541220179603, 1.0171541220179603, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0015, 2025-10-24 16:30, , 15, 1.008818417224058, 1.008818417224058, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0016, 2025-10-27 14:30, , 16, 1.0034007028519696, 1.0034007028519696, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0017, 2025-11-17 10:30, , 17, 1.001211524477861, 1.001211524477861, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0018, 2025-11-26 15:30, , 18, 0.9925812323709229, 0.9925812323709229, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0019, 2025-11-29 15:30, , 19, 0.9896048771765672, 0.9896048771765672, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0020, 2025-12-02 13:30, , 20, 0.9966562607587418, 0.9966562607587418, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0021, 2025-12-13 15:30, , 21, 0.9877260230065897, 0.9877260230065897, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0022, 2025-12-24 14:30, , 22, 0.9994341089541406, 0.9994341089541406, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0023, 2026-02-02 13:30, , 23, 1.0009169359137426, 1.0009169359137426, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0024, 2026-02-28 10:30, , 24, 1.0125148129637898, 1.0125148129637898, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0025, 2026-03-14 13:30, , 25, 1.0203108814833863, 1.0203108814833863, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0026, 2026-03-18 10:30, , 26, 0.9801152474883432, 0.9801152474883432, 1.000778471486154, 1.0332898276493938, 0.9682671153229143, , , , , , , A-H3, i, x4-m4, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
