experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 5.742160121481865, 5.742160121481865, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 5.691316908931903, 5.691316908931903, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 5.671774891927063, 5.671774891927063, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 5.6770873803666815, 5.6770873803666815, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 5.8285275003805825, 5.8285275003805825, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 5.7556695104280005, 5.7556695104280005, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 5.782410760302139, 5.782410760302139, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 5.647526267047247, 5.647526267047247, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 5.676216129408951, 5.676216129408951, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 5.689080710073425, 5.689080710073425, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0011, 2025-09-19 17:30, , 11, 5.682661539994782, 5.682661539994782, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0013, 2025-09-28 12:30, , 12, 5.69677341906058, 5.69677341906058, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0012, 2025-09-28 13:30, , 13, 5.596522653752198, 5.596522653752198, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0014, 2025-09-30 14:30, , 14, 5.7235317933848835, 5.7235317933848835, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0015, 2025-10-24 16:30, , 15, 5.79102020526297, 5.79102020526297, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0016, 2025-10-27 14:30, , 16, 5.7206966425653745, 5.7206966425653745, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0017, 2025-11-17 10:30, , 17, 5.636163585917512, 5.636163585917512, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0018, 2025-11-26 15:30, , 18, 5.718375742532666, 5.718375742532666, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0019, 2025-11-29 15:30, , 19, 5.602575204820443, 5.602575204820443, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0020, 2025-12-02 13:30, , 20, 5.817482331752749, 5.817482331752749, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0021, 2025-12-13 15:30, , 21, 5.724865026827196, 5.724865026827196, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0022, 2025-12-24 14:30, , 22, 5.5726326780064595, 5.5726326780064595, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0023, 2026-02-02 13:30, , 23, 5.6551968438259665, 5.6551968438259665, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0024, 2026-02-28 10:30, , 24, 5.684369632605719, 5.684369632605719, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0025, 2026-03-14 13:30, , 25, 5.661059856318261, 5.661059856318261, 5.707378664969601, 5.901420073240156, 5.513337256699045, , , , , , , A-H3b, i, x2-m2, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
