experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 89.43908836666935, 89.43908836666935, 89.88806508229827, 93.63739115782602, 86.13873900677052, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 89.24005668438942, 89.24005668438942, 89.88806508229827, 93.63739115782602, 86.13873900677052, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 90.39863644330653, 90.39863644330653, 89.88806508229827, 93.63739115782602, 86.13873900677052, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 89.7675660743839, 89.7675660743839, 89.88806508229827, 93.63739115782602, 86.13873900677052, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 90.47846824623613, 90.47846824623613, 89.88806508229827, 93.63739115782602, 86.13873900677052, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 89.34977131784282, 89.34977131784282, 89.88806508229827, 93.63739115782602, 86.13873900677052, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 90.6729001491177, 90.6729001491177, 89.88806508229827, 93.63739115782602, 86.13873900677052, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 89.3098367670143, 89.3098367670143, 89.88806508229827, 93.63739115782602, 86.13873900677052, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 89.21627826641473, 89.21627826641473, 89.88806508229827, 93.63739115782602, 86.13873900677052, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 90.08243313281665, 90.08243313281665, 89.88806508229827, 93.63739115782602, 86.13873900677052, , , , , , , A-H4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
