experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, -2.032873779936237, -2.032873779936237, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, -2.0190972371689657, -2.0190972371689657, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, -1.9953965035491008, -1.9953965035491008, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, -1.993852152302093, -1.993852152302093, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, -2.039529729507999, -2.039529729507999, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, -1.9909751876880826, -1.9909751876880826, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, -1.9951121979420743, -1.9951121979420743, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, -1.9942387086940305, -1.9942387086940305, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, -1.9921578211810365, -1.9921578211810365, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, -2.010659969213031, -2.010659969213031, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0011, 2025-09-19 17:30, , 11, -1.99931681508793, -1.99931681508793, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0013, 2025-09-28 12:30, , 12, -1.9998959568647376, -1.9998959568647376, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0012, 2025-09-28 13:30, , 13, -1.9830862630851231, -1.9830862630851231, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0014, 2025-09-30 14:30, , 14, -2.0163163678887495, -2.0163163678887495, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0015, 2025-10-24 16:30, , 15, -1.9886610551479553, -1.9886610551479553, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0016, 2025-10-27 14:30, , 16, -2.0107594512841085, -2.0107594512841085, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0017, 2025-11-17 10:30, , 17, -1.9676143479311572, -1.9676143479311572, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0018, 2025-11-26 15:30, , 18, -2.0242401748721597, -2.0242401748721597, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0019, 2025-11-29 15:30, , 19, -2.0073393696960777, -2.0073393696960777, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0020, 2025-12-02 13:30, , 20, -1.9835827000864235, -1.9835827000864235, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0021, 2025-12-13 15:30, , 21, -1.9768637984794653, -1.9768637984794653, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0022, 2025-12-24 14:30, , 22, -1.9785959131057942, -1.9785959131057942, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0023, 2026-02-02 13:30, , 23, -1.9984694815454118, -1.9984694815454118, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0024, 2026-02-28 10:30, , 24, -2.0012250739926953, -2.0012250739926953, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0025, 2026-03-14 13:30, , 25, -1.9766105852205416, -1.9766105852205416, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0026, 2026-03-18 10:30, , 26, -1.979851544001362, -1.979851544001362, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0027, 2026-03-25 10:30, , 27, -2.029761737352573, -2.029761737352573, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0028, 2026-04-03 12:30, , 28, -1.9910188542345109, -1.9910188542345109, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0029, 2026-04-21 14:30, , 29, -2.011124595373925, -2.011124595373925, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0030, 2026-05-17 12:30, , 30, -2.0077739939743133, -2.0077739939743133, -2.0022352894563538, -1.9447056855721463, -2.059764893340561, , , , , , , A-S4, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
