experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 3, 3, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 0, 0, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 4, 4, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 2, 2, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 3, 3, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 1, 1, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 1, 1, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 4, 4, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 4, 4, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 2, 2, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0011, 2025-09-19 17:30, , 11, 2, 2, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0013, 2025-09-28 12:30, , 12, 4, 4, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0012, 2025-09-28 13:30, , 13, 3, 3, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0014, 2025-09-30 14:30, , 14, 2, 2, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0015, 2025-10-24 16:30, , 15, 0, 0, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0016, 2025-10-27 14:30, , 16, 4, 4, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0017, 2025-11-17 10:30, , 17, 2, 2, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0018, 2025-11-26 15:30, , 18, 3, 3, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0019, 2025-11-29 15:30, , 19, 3, 3, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0020, 2025-12-02 13:30, , 20, 4, 4, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0021, 2025-12-13 15:30, , 21, 4, 4, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0022, 2025-12-24 14:30, , 22, 0, 0, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0023, 2026-02-02 13:30, , 23, 2, 2, 2.55, 7.340615826801393, 0, , , , , , , A-S6, c, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
