experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 75.76582450479663, 75.76582450479663, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 76.66596577441483, 76.66596577441483, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 75.86273134622971, 75.86273134622971, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 77.01226835015018, 77.01226835015018, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 76.44492262767383, 76.44492262767383, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 76.57665406397408, 76.57665406397408, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 75.14382578533892, 75.14382578533892, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 77.18239232534114, 77.18239232534114, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 77.58029974890076, 77.58029974890076, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 75.98234725623047, 75.98234725623047, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0011, 2025-09-19 17:30, , 11, 75.40112680304664, 75.40112680304664, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0013, 2025-09-28 12:30, , 12, 76.61973930787718, 76.61973930787718, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0012, 2025-09-28 13:30, , 13, 75.73759624744369, 75.73759624744369, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0014, 2025-09-30 14:30, , 14, 75.39647867709225, 75.39647867709225, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0015, 2025-10-24 16:30, , 15, 76.25588921920105, 76.25588921920105, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0016, 2025-10-27 14:30, , 16, 75.84272851263985, 75.84272851263985, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0017, 2025-11-17 10:30, , 17, 75.97383894473697, 75.97383894473697, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0018, 2025-11-26 15:30, , 18, 75.80093034366779, 75.80093034366779, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0019, 2025-11-29 15:30, , 19, 76.82982340470039, 76.82982340470039, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0020, 2025-12-02 13:30, , 20, 76.17418210660698, 76.17418210660698, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0021, 2025-12-13 15:30, , 21, 76.1980487813326, 76.1980487813326, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0022, 2025-12-24 14:30, , 22, 75.01164660933698, 75.01164660933698, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0023, 2026-02-02 13:30, , 23, 75.7571197801522, 75.7571197801522, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0024, 2026-02-28 10:30, , 24, 75.1769320058077, 75.1769320058077, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0025, 2026-03-14 13:30, , 25, 76.04876284841963, 76.04876284841963, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0026, 2026-03-18 10:30, , 26, 76.67375383354437, 76.67375383354437, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0027, 2026-03-25 10:30, , 27, 74.93580562890718, 74.93580562890718, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0028, 2026-04-03 12:30, , 28, 75.91566530955069, 75.91566530955069, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0029, 2026-04-21 14:30, , 29, 75.52387536642809, 75.52387536642809, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0030, 2026-05-17 12:30, , 30, 77.23642278376816, 77.23642278376816, 76.21247826750316, 78.35462032029281, 74.0703362147135, , , , , , , B-H10b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
