experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 301.71710150046914, 301.71710150046914, 300.8180509660085, 308.2904792951734, 293.34562263684364, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 301.19976347743307, 301.19976347743307, 300.8180509660085, 308.2904792951734, 293.34562263684364, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 299.57686088249204, 299.57686088249204, 300.8180509660085, 308.2904792951734, 293.34562263684364, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 300.04196475171625, 300.04196475171625, 300.8180509660085, 308.2904792951734, 293.34562263684364, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 298.3249617641637, 298.3249617641637, 300.8180509660085, 308.2904792951734, 293.34562263684364, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 302.8607376225524, 302.8607376225524, 300.8180509660085, 308.2904792951734, 293.34562263684364, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 303.2095001235508, 303.2095001235508, 300.8180509660085, 308.2904792951734, 293.34562263684364, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 303.12712687060406, 303.12712687060406, 300.8180509660085, 308.2904792951734, 293.34562263684364, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 299.90658667283486, 299.90658667283486, 300.8180509660085, 308.2904792951734, 293.34562263684364, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 302.4384453048386, 302.4384453048386, 300.8180509660085, 308.2904792951734, 293.34562263684364, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0011, 2025-09-19 17:30, , 11, 300.1318121218977, 300.1318121218977, 300.8180509660085, 308.2904792951734, 293.34562263684364, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0013, 2025-09-28 12:30, , 12, 300.37897467073606, 300.37897467073606, 300.8180509660085, 308.2904792951734, 293.34562263684364, , , , , , , B-H11, i, x2-m3, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
