experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 1.1672633350230681, 1.1672633350230681, 1.1785699405194587, 1.222373537763196, 1.1347663432757216, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 1.1698812944654648, 1.1698812944654648, 1.1785699405194587, 1.222373537763196, 1.1347663432757216, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 1.1870426114863697, 1.1870426114863697, 1.1785699405194587, 1.222373537763196, 1.1347663432757216, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 1.1566432335899417, 1.1566432335899417, 1.1785699405194587, 1.222373537763196, 1.1347663432757216, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 1.196529013949121, 1.196529013949121, 1.1785699405194587, 1.222373537763196, 1.1347663432757216, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 1.1790370589090677, 1.1790370589090677, 1.1785699405194587, 1.222373537763196, 1.1347663432757216, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 1.1910480984123977, 1.1910480984123977, 1.1785699405194587, 1.222373537763196, 1.1347663432757216, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 1.1670569431217923, 1.1670569431217923, 1.1785699405194587, 1.222373537763196, 1.1347663432757216, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 1.180372759524721, 1.180372759524721, 1.1785699405194587, 1.222373537763196, 1.1347663432757216, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 1.1733837824745692, 1.1733837824745692, 1.1785699405194587, 1.222373537763196, 1.1347663432757216, , , , , , , B-H13, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
