experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 2592.060351386617, 2592.060351386617, 2607.7724313863246, 2700.895201911925, 2514.649660860724, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 2579.5789390098867, 2579.5789390098867, 2607.7724313863246, 2700.895201911925, 2514.649660860724, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 2615.8174321764136, 2615.8174321764136, 2607.7724313863246, 2700.895201911925, 2514.649660860724, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 2601.681616083355, 2601.681616083355, 2607.7724313863246, 2700.895201911925, 2514.649660860724, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 2615.2229890821213, 2615.2229890821213, 2607.7724313863246, 2700.895201911925, 2514.649660860724, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 2643.4513469459393, 2643.4513469459393, 2607.7724313863246, 2700.895201911925, 2514.649660860724, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 2626.42356463135, 2626.42356463135, 2607.7724313863246, 2700.895201911925, 2514.649660860724, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 2574.3464612987445, 2574.3464612987445, 2607.7724313863246, 2700.895201911925, 2514.649660860724, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 2572.0848534502156, 2572.0848534502156, 2607.7724313863246, 2700.895201911925, 2514.649660860724, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 2601.2345125475636, 2601.2345125475636, 2607.7724313863246, 2700.895201911925, 2514.649660860724, , , , , , , B-H13b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
